,Residual,Ring,EOMES+,HOPX+,Bulk
vRG,1286.778596205878,2241.8766025713494,1748.3541035145781,1581.7425116172226,1710.978737579381
oRG,135.57610996527987,385.09589452081383,187.7970162082163,7495.296987215469,542.6626706361598
IP,2169.3310566223868,3014.3506800427235,8827.415789554907,1792.5991913292394,1720.8342184395613
PgS,530.0507970844708,1131.6267304261414,4839.194992356431,1450.7466578482608,1066.1648034298703
PgG2M,409.9355536369349,543.240500194228,2147.726846334675,1030.9306979653654,361.281168298805
OPC,50.97388271852423,47.59862942164804,140.58772582882904,43.14289227896429,39.84786949545384
InCGE,1837.4146469530028,2012.6714916331264,1519.7558030696518,1036.8647245913012,1084.5677134074917
InMGE,701.1093330540281,778.2319280194502,475.88182781299474,425.25741320693146,453.6747898798485
ExN,4275.163337163194,4901.631091218877,4214.743230163868,7670.090688514429,4094.3776634497817
ExM,835.743469903833,861.9219102267549,1395.8963228011735,1600.808070097094,975.5492907711448
ExM-U,52.84052753725241,49.204439141823,108.94316305957148,70.59185030097966,27.46431619877336
ExDp1,45.28676848983854,35.50959033368972,404.53047696314087,37.336124947016835,33.9554051129587
ExDp2,9.093115061399551,11.917825292212058,26.709713725816208,26.745609512243448,7.764862627999072
Per,38.04057619858344,52.04525436629142,23.67624902393679,27.662966261198694,57.88908678667614
End,70.9580264392081,68.2414594756551,27.654352683644795,223.61177372248753,100.95976230595977
Mic,94.47011199802279,94.67841951834264,111.82394161751249,71.69396321913159,76.55918264851948
