,mean,sd,q05,q95,threshold,probability,FDR
RPL7A,-2.378285,0.1771144,-2.559426176548004,-2.0052083969116214,1,1.0,0.0
"RPL36A-HNRNPH2,RPL36A",-2.2177181,0.14506762,-2.3700613737106324,-1.9209671914577486,1,1.0,0.0
GLI3,1.8751789,0.17133081,1.6023265540599823,2.1356394648551937,1,1.0,0.0
RPL37,-2.0520673,0.092835285,-2.1463504552841184,-1.8781001806259159,1,1.0,0.0
RPL37A,-2.3650305,0.11713826,-2.4711473941802975,-2.1509117841720586,1,1.0,0.0
RPL39,-2.3560038,0.11285721,-2.4605669379234314,-2.1387978911399843,1,1.0,0.0
RPL4,-1.9108493,0.14725211,-2.0738484859466553,-1.6216808676719665,1,1.0,0.0
EOMES,-1.9401335,0.038426194,-1.979428470134735,-1.871439015865326,1,1.0,0.0
RPL6,-2.3304837,0.11912985,-2.4510396361351012,-2.1214811921119687,1,1.0,0.0
"H2BC4,H2BC5",-1.8119613,0.060119666,-1.887043285369873,-1.6989144325256347,1,1.0,0.0
RPL9,-2.3794296,0.12531899,-2.5060824155807495,-2.140905570983887,1,1.0,0.0
CLDN5,2.1580238,0.3117292,1.634048068523407,2.6542761087417603,1,1.0,0.0
RPLP0,-2.24791,0.1319996,-2.3931575536727903,-1.9900288581848145,1,1.0,0.0
RPLP1,-2.2290561,0.18117703,-2.415047311782837,-1.8720267951488498,1,1.0,0.0
RPLP2,-2.108518,0.11224793,-2.2259164810180665,-1.88710418343544,1,1.0,0.0
ATP1A1,2.3675518,0.25057054,1.9360195457935334,2.7782947778701783,1,1.0,0.0
ATP1A2,3.3215451,0.122676946,3.1235342979431153,3.521884262561798,1,1.0,0.0
ATP1B2,4.535129,0.18188086,4.209614181518555,4.801678466796875,1,1.0,0.0
RPS13,-2.2610948,0.1146665,-2.378763890266418,-2.0196797013282777,1,1.0,0.0
MCL1,2.3261027,0.1594372,2.0480971455574033,2.576959109306335,1,1.0,0.0
ATP2B4,2.519269,0.24236028,2.0930939435958864,2.90240341424942,1,1.0,0.0
RPS15A,-2.1202192,0.18400463,-2.324952411651611,-1.7473322808742524,1,1.0,0.0
ATP5F1A,2.4500504,0.38652724,1.796540367603302,3.0553864598274227,1,1.0,0.0
EPHB2,2.3957317,0.31867516,1.8648927748203277,2.915446817874908,1,1.0,0.0
RPS17,-2.395334,0.11746644,-2.508305549621582,-2.1693070769309997,1,1.0,0.0
"RPS18,RPS18P9",-2.365355,0.18262812,-2.565655827522278,-2.0020443916320803,1,1.0,0.0
RPS19,-2.307571,0.1640703,-2.4918794989585877,-1.9661752641201018,1,1.0,0.0
SOX9,2.3541315,0.116745576,2.1666394710540775,2.545519733428955,1,1.0,0.0
RPL35A,-2.2319775,0.122293375,-2.364389967918396,-2.0053161978721623,1,1.0,0.0
RPS20,-1.9894156,0.113407634,-2.1028183817863466,-1.7746608018875123,1,1.0,0.0
MEGF10,3.0752738,0.38299504,2.4073484182357787,3.6356260061264036,1,1.0,0.0
ATF4,2.9426105,0.34745187,2.3442598938941956,3.4876129984855653,1,1.0,0.0
MOXD1,3.7141902,0.15648326,3.4537721753120425,3.949887299537658,1,1.0,0.0
MOB3B,1.7896981,0.15171325,1.5221820592880249,2.0370078921318053,1,1.0,0.0
RNF213,2.2064583,0.34334728,1.619525158405304,2.7515774011611938,1,1.0,0.0
MMP15,1.9556161,0.18338604,1.6531866073608399,2.240009999275207,1,1.0,0.0
MMD2,1.8398217,0.19637433,1.528477704524994,2.159646725654602,1,1.0,0.0
MLC1,3.8893828,0.32569608,3.3167165637016294,4.377526760101318,1,1.0,0.0
ARVCF,2.8977287,0.3707352,2.2653152346611023,3.476008760929108,1,1.0,0.0
ROBO1,3.3913205,0.32780463,2.8383846163749697,3.9003138184547423,1,1.0,0.0
ELOVL2,2.1773303,0.27699214,1.7350684285163878,2.6402239322662355,1,1.0,0.0
ROCK2,2.4845757,0.35223407,1.890196055173874,3.0507767915725705,1,1.0,0.0
TFRC,2.510513,0.3623265,1.8925334513187408,3.059053122997284,1,1.0,0.0
MGST3,3.0603187,0.2333788,2.6611864209175113,3.4313458442687987,1,1.0,0.0
MGLL,2.312098,0.21855633,1.9497178018093109,2.659661316871643,1,1.0,0.0
TFPI,3.4630234,0.24810962,3.0433120250701906,3.841390609741211,1,1.0,0.0
ASCL1,-1.8035014,0.16091546,-1.9926296889781951,-1.4944237232208253,1,1.0,0.0
MFGE8,2.684094,0.13245453,2.462178945541382,2.897955358028412,1,1.0,0.0
EMD,3.1951966,0.36168575,2.5826414465904235,3.7660520315170287,1,1.0,0.0
RPL17,-2.1910782,0.20906138,-2.409392070770264,-1.7979522287845615,1,1.0,0.0
RPL18,-2.2767506,0.22157526,-2.523356020450592,-1.8213829278945923,1,1.0,0.0
ENC1,-1.7564204,0.09146802,-1.8480321764945984,-1.569388735294342,1,1.0,0.0
RPL18A,-2.2535863,0.12891743,-2.381706428527832,-2.0133570194244386,1,1.0,0.0
"RPL21,RPL21P28",-2.1587627,0.11126595,-2.2680118680000305,-1.9372143089771272,1,1.0,0.0
MEPCE,2.58061,0.25897622,2.1435198187828064,2.992075729370117,1,1.0,0.0
RPL23,-2.3141184,0.15235142,-2.472140598297119,-2.014908027648926,1,1.0,0.0
RPL24,-2.2836378,0.15464774,-2.4563900351524355,-1.966568398475647,1,1.0,0.0
RPL26,-2.3261611,0.11468409,-2.4422190070152285,-2.1098536968231203,1,1.0,0.0
RPL30,-2.4646974,0.09830884,-2.5647485852241516,-2.2754021763801573,1,1.0,0.0
RPL34,-2.3841934,0.10097345,-2.488095545768738,-2.192207431793213,1,1.0,0.0
RPS24,-2.2982502,0.12781338,-2.4233561992645263,-2.066870975494385,1,1.0,0.0
RPS25,-2.313325,0.18472016,-2.513795030117035,-1.9494459271430975,1,1.0,0.0
"RPS26P11,RPS26,LOC100996747",-2.220684,0.13896005,-2.3681418538093566,-1.9474414408206941,1,1.0,0.0
SOX21,2.7850752,0.3692879,2.152415382862091,3.3551777958869935,1,1.0,0.0
ETV1,2.4355612,0.35194874,1.821505355834961,2.9557818174362183,1,1.0,0.0
ETV5,2.532258,0.17100689,2.2552727341651915,2.8038806080818177,1,1.0,0.0
EVA1C,1.8857869,0.27562925,1.4206961870193482,2.3274363994598386,1,1.0,0.0
LYRM2,-2.3253214,0.1422543,-2.466300296783447,-2.0715291023254396,1,1.0,0.0
LYN,1.9361542,0.11193578,1.749037581682205,2.1181797146797177,1,1.0,0.0
TCIM,2.250783,0.27963164,1.7830398559570313,2.705118179321289,1,1.0,0.0
S100A13,2.337662,0.28109282,1.879686611890793,2.807684946060181,1,1.0,0.0
EVPLL,2.2082596,0.104610026,2.0274357557296754,2.371143293380737,1,1.0,0.0
LY6H,2.5156767,0.30002463,2.0001305997371674,2.982043063640594,1,1.0,0.0
TCF4,-2.0934038,0.13534236,-2.2272297143936157,-1.7969915986061098,1,1.0,0.0
BBS2,2.0445347,0.28141856,1.566486006975174,2.495579469203949,1,1.0,0.0
S1PR1,2.8294334,0.30928677,2.2882611751556396,3.2904142141342163,1,1.0,0.0
SOX2,2.8877478,0.25875133,2.446979069709778,3.2964884757995607,1,1.0,0.0
BCAN,3.8120437,0.14050965,3.562804341316223,4.022871398925781,1,1.0,0.0
LSS,2.5585458,0.2835155,2.0779802918434145,2.996451711654663,1,1.0,0.0
LSAMP,2.1084785,0.26751763,1.66255202293396,2.5347316265106197,1,1.0,0.0
F3,2.6844847,0.3292533,2.124378836154938,3.18484480381012,1,1.0,0.0
LRRTM3,2.3662019,0.28478885,1.8805781722068788,2.8247487783432006,1,1.0,0.0
SALL2,2.1953995,0.33018008,1.648919689655304,2.7308236956596375,1,1.0,0.0
SALL3,1.8153999,0.2092099,1.4677581191062927,2.157407009601593,1,1.0,0.0
FABP7,3.8905914,0.071583554,3.7665693640708926,4.004033493995666,1,1.0,0.0
FADS2,2.1740167,0.18503891,1.8729245603084563,2.4649938702583314,1,1.0,0.0
SARAF,3.1671903,0.34520036,2.5950984358787537,3.693310785293579,1,1.0,0.0
TTPA,-2.3809433,0.014291102,-2.4029999732971192,-2.3585369348526,1,1.0,0.0
LRRC3B,2.923566,0.16470826,2.649357557296753,3.195030391216278,1,1.0,0.0
SAT1,3.4057765,0.18423261,3.0950933694839478,3.701999735832214,1,1.0,0.0
RTN4R,2.269046,0.33673555,1.6942749798297883,2.7996232986450194,1,1.0,0.0
RTN4,1.6792269,0.13483492,1.4470343351364137,1.8919208884239196,1,1.0,0.0
RTN3,2.918099,0.4455297,2.1549677133560183,3.587220382690429,1,1.0,0.0
RTN1,3.0590017,0.16817008,2.7699129104614255,3.322820997238159,1,1.0,0.0
RPS27,-2.381423,0.12020123,-2.4903331518173215,-2.174428880214691,1,1.0,0.0
RPS28,-2.2098432,0.16762221,-2.387499678134918,-1.8440970659255982,1,1.0,0.0
RPS29,-2.273374,0.1156614,-2.3915880680084225,-2.0323713779449464,1,1.0,0.0
RPS3,-2.2151818,0.16247465,-2.3749260306358337,-1.8948257088661193,1,1.0,0.0
RPS3A,-2.385159,0.12043959,-2.4984193563461305,-2.1548628568649293,1,1.0,0.0
RPS4X,-2.3549504,0.09302221,-2.4503132462501527,-2.176075804233551,1,1.0,0.0
RPS6,-2.355339,0.1358835,-2.4849185705184937,-2.097529911994934,1,1.0,0.0
MARVELD1,2.74129,0.31761488,2.1943936824798587,3.235893726348877,1,1.0,0.0
ERG28,2.1558208,0.32888952,1.6269556224346162,2.691058111190795,1,1.0,0.0
CLCN3,2.8876967,0.30658016,2.359292757511139,3.3383314847946166,1,1.0,0.0
GNG12,2.3942966,0.3056059,1.8987880647182465,2.884158957004547,1,1.0,0.0
RPS8,-2.2002447,0.21107718,-2.4406609535217285,-1.7896755278110505,1,1.0,0.0
MAPT,2.7756567,0.395198,2.0910574793815613,3.3750741243362428,1,1.0,0.0
TSPAN7,3.0403686,0.31831697,2.4930334448814393,3.5389422774314876,1,1.0,0.0
MAPK11,1.8011543,0.20819095,1.4361626982688904,2.13039048910141,1,1.0,0.0
ZFP36L2,2.6975927,0.22834119,2.311476695537567,3.036091351509094,1,1.0,0.0
ZFP36L1,3.0542095,0.19288327,2.723914659023285,3.350240874290466,1,1.0,0.0
MAP4,2.5055835,0.31214505,1.9682400166988372,3.0066346049308774,1,1.0,0.0
AXL,2.3965352,0.3044745,1.8848073065280915,2.861549401283264,1,1.0,0.0
MAP1B,1.9031603,0.19002447,1.5990721642971037,2.217098557949066,1,1.0,0.0
B2M,1.7016625,0.16492936,1.4314864158630372,1.9716619610786439,1,1.0,0.0
B3GAT2,2.094102,0.1941196,1.7764567852020263,2.412648808956146,1,1.0,0.0
GRM3,2.508934,0.18465063,2.18812153339386,2.7981979846954346,1,1.0,0.0
SRI,1.9407878,0.20026545,1.6101500868797303,2.2574424147605896,1,1.0,0.0
SOX4,-1.9131936,0.09873398,-2.00902556180954,-1.7243278861045839,1,1.0,0.0
"MAGED4,MAGED4B",2.413263,0.2946932,1.911305570602417,2.870596742630005,1,1.0,0.0
MAGED2,1.9242445,0.1870685,1.6212735772132874,2.226923322677612,1,1.0,0.0
MAGED1,1.9897225,0.25281283,1.5774622440338135,2.3937656283378597,1,1.0,0.0
MAPK1,2.9571865,0.3989348,2.2663793325424195,3.5946927189826967,1,1.0,0.0
MRC2,3.1275017,0.32624927,2.5604666471481323,3.6312252521514887,1,1.0,0.0
TSPAN3,3.4908543,0.32808337,2.9282771348953247,3.996981716156006,1,1.0,0.0
TSPAN18,1.7853029,0.13064925,1.5540096998214723,1.9962975919246673,1,1.0,0.0
NNAT,-2.0342886,0.11498261,-2.158360183238983,-1.8258200168609622,1,1.0,0.0
RAI14,2.3619902,0.32224062,1.807780647277832,2.8610221862792966,1,1.0,0.0
ZNF468,-2.5800128,0.025949135,-2.613939023017883,-2.5413114547729494,1,1.0,0.0
RALGAPA2,2.402239,0.38349172,1.7524698555469513,3.00698299407959,1,1.0,0.0
TMEM107,2.308206,0.029455446,2.259508490562439,2.3543949127197266,1,1.0,0.0
TMED9,2.4538767,0.28303328,1.953012293577194,2.9162714958190916,1,1.0,0.0
RAP1GAP,1.875794,0.20280646,1.5320009469985962,2.192107021808624,1,1.0,0.0
DNER,1.8090221,0.15433753,1.5572002291679383,2.064375126361847,1,1.0,0.0
NKAIN4,1.8917197,0.17196353,1.6204645335674286,2.1732713699340818,1,1.0,0.0
CCNI,-2.3979123,0.11327312,-2.512544071674347,-2.185808277130127,1,1.0,0.0
NID1,2.6644392,0.32443693,2.1286916613578795,3.168322741985321,1,1.0,0.0
DOCK1,2.0900872,0.31446955,1.5590704262256623,2.596512961387634,1,1.0,0.0
RASA3,2.1053474,0.28377643,1.6038937211036683,2.568302094936371,1,1.0,0.0
NFYA,2.2630696,0.21695468,1.8744448602199553,2.5966856241226193,1,1.0,0.0
NFE2L1,2.4575114,0.38261488,1.8130237996578216,3.080881237983703,1,1.0,0.0
DOK5,1.6490728,0.121691175,1.4458933115005492,1.8417825996875763,1,1.0,0.0
TMBIM6,3.5209002,0.2658067,3.058294892311096,3.9392279386520386,1,1.0,0.0
NEUROG2,-1.7255867,0.083135,-1.8149573504924774,-1.5564623475074768,1,1.0,0.0
TMBIM1,2.0235996,0.30914122,1.5078570246696472,2.5161664247512814,1,1.0,0.0
ZNF430,-2.140768,0.067397416,-2.2139226078987124,-2.0237852573394775,1,1.0,0.0
ZNF43,-2.5556452,0.039771214,-2.6059224128723146,-2.485508120059967,1,1.0,0.0
ANOS1,2.4950335,0.307119,1.9774448096752166,2.969302999973297,1,1.0,0.0
NES,2.8821797,0.3539388,2.262213706970215,3.4088672757148744,1,1.0,0.0
DPYSL2,1.7980442,0.18481721,1.5024472415447234,2.1047239542007445,1,1.0,0.0
ANXA2,1.8808978,0.22329366,1.5019911587238313,2.2342753767967225,1,1.0,0.0
ANXA5,1.4933612,0.15210983,1.2355692744255065,1.7407940387725829,1,1.0,0.0
ANXA6,2.5851274,0.22580725,2.2030532956123356,2.938137137889862,1,1.0,0.0
TRIOBP,2.2615895,0.3694076,1.604925912618637,2.852849900722503,1,1.0,0.0
DNAJB1,2.5276535,0.29041567,2.0479901790618897,2.990545654296875,1,1.0,0.0
RAD51B,2.1263728,0.3549086,1.5098160028457643,2.684395682811737,1,1.0,0.0
RAD23B,2.3928125,0.22965713,1.9910174190998078,2.772974622249603,1,1.0,0.0
ALCAM,1.9992992,0.28076708,1.522992944717407,2.4628374218940734,1,1.0,0.0
OAT,1.8532904,0.15171567,1.5849084198474885,2.0999525427818297,1,1.0,0.0
QKI,2.2085433,0.07702817,2.0844286203384397,2.3354120731353762,1,1.0,0.0
CORO1C,-2.0169892,0.06567716,-2.0854057669639587,-1.8883065104484558,1,1.0,0.0
ALDH9A1,2.2027056,0.38963032,1.53802387714386,2.843014490604401,1,1.0,0.0
DIPK1C,1.9587567,0.2173055,1.5688405990600585,2.2958457350730894,1,1.0,0.0
ALDOC,2.4317963,0.20877019,2.070372259616852,2.7377902746200555,1,1.0,0.0
NUDT3,2.770678,0.37759638,2.104401421546936,3.354635179042816,1,1.0,0.0
NUCB1,2.687335,0.3870369,2.0005961537361143,3.272674167156219,1,1.0,0.0
DKK3,3.4737413,0.2647413,2.9984874725341797,3.8912884950637814,1,1.0,0.0
TMEM163,2.132566,0.2662034,1.6962275743484496,2.5628936290740962,1,1.0,0.0
NTRK3,3.7371829,0.32645693,3.1604506969451904,4.19189088344574,1,1.0,0.0
"NSUN7,APBB2",2.0374758,0.24997443,1.6062046587467194,2.4092463970184324,1,1.0,0.0
DPYSL5,1.4761218,0.1218005,1.291054368019104,1.6815710604190826,1,1.0,0.0
TMEM158,-1.9960086,0.03942258,-2.035420548915863,-1.9222034692764283,1,1.0,0.0
NRXN2,2.3411024,0.29410228,1.8739687502384186,2.8060448050498956,1,1.0,0.0
NRG1,4.0450573,0.24328604,3.616355192661285,4.397145676612855,1,1.0,0.0
RAB3GAP2,2.8156009,0.30559343,2.292397511005402,3.3032487630844116,1,1.0,0.0
"NPIPB4,NPIPB11,NPIPA2,NPIPB5,NPIPA3,NPIPB12,NPIPA5,NPIPB13,NPIPB3",2.045498,0.31434566,1.5237489640712738,2.5692956328392027,1,1.0,0.0
NPDC1,2.2907226,0.3615198,1.6855304419994355,2.891492331027984,1,1.0,0.0
SQLE,2.527626,0.3188319,1.9867948472499848,3.0300482630729677,1,1.0,0.0
TMEM132B,3.7039425,0.21280025,3.33226717710495,4.039126634597778,1,1.0,0.0
TRIM9,1.7788496,0.13320722,1.5558337926864625,1.998482823371887,1,1.0,0.0
ZNF492,-2.5633006,0.024805842,-2.600051689147949,-2.520336413383484,1,1.0,0.0
NOTCH3,2.4747317,0.20371288,2.125111949443817,2.791482996940613,1,1.0,0.0
"NOTCH2NLC,NOTCH2NLA,NOTCH2NLB",3.6363206,0.26746616,3.1765060782432557,4.049196386337281,1,1.0,0.0
NOTCH2,3.165671,0.124886535,2.9576782822608947,3.3630378365516664,1,1.0,0.0
NOTCH1,3.0772653,0.3334636,2.4950758457183837,3.609075355529785,1,1.0,0.0
RAB31,2.0450752,0.29764518,1.561624825000763,2.5023632526397708,1,1.0,0.0
CHST3,1.8408725,0.1501808,1.5920424103736879,2.082246971130371,1,1.0,0.0
"RBFOX2,RPL41,LOC107984974",-2.2516148,0.21943295,-2.4970651626586915,-1.7866247355937959,1,1.0,0.0
AP2B1,2.9026873,0.30666685,2.368706452846527,3.3603511571884157,1,1.0,0.0
EEPD1,3.379178,0.1591027,3.115629553794861,3.6413679242134096,1,1.0,0.0
ARHGAP5,1.8470626,0.1710524,1.557577669620514,2.1158170461654664,1,1.0,0.0
ARHGDIA,2.311113,0.3734529,1.70084747672081,2.9311897993087763,1,1.0,0.0
MVD,2.3737383,0.26935485,1.901039433479309,2.8055200099945066,1,1.0,0.0
RGMA,3.540963,0.31410098,3.008750879764557,4.0176067590713505,1,1.0,0.0
TSC22D4,2.1806982,0.27586356,1.716350483894348,2.629226565361023,1,1.0,0.0
EFHD2,2.052932,0.25396746,1.621255248785019,2.4520800113677974,1,1.0,0.0
MTSS2,1.9993674,0.18518795,1.6871584236621857,2.2827317953109745,1,1.0,0.0
RGS20,2.2724817,0.277541,1.8100923478603363,2.7354557514190674,1,1.0,0.0
RGS6,1.910393,0.14331065,1.6667820453643798,2.148882961273193,1,1.0,0.0
EFNB1,1.9556929,0.27005646,1.497908228635788,2.377598428726196,1,1.0,0.0
EFNB2,2.1299243,0.2644771,1.6894861519336701,2.563827097415924,1,1.0,0.0
RHOJ,1.8833323,0.18538427,1.5701219201087953,2.1751772403717045,1,1.0,0.0
MTCH1,2.9888644,0.38061428,2.3104764461517338,3.585392379760742,1,1.0,0.0
MT3,2.6187317,0.06067175,2.51823536157608,2.715712022781372,1,1.0,0.0
MT2A,2.2885647,0.32831535,1.7176539361476897,2.8024945020675656,1,1.0,0.0
THSD7A,1.5169584,0.13553676,1.2982446312904359,1.7482856214046478,1,1.0,0.0
CMIP,1.6121281,0.12623209,1.4130791783332823,1.8242883205413818,1,1.0,0.0
MSN,2.5223653,0.30689877,2.013718843460083,3.0046117544174193,1,1.0,0.0
MSMO1,3.2082312,0.22772129,2.803364527225494,3.5407377958297728,1,1.0,0.0
ARL10,2.2590551,0.39261743,1.5770956754684449,2.883402907848358,1,1.0,0.0
SPARC,1.2486626,0.07381442,1.1243961334228516,1.3679410696029664,1,1.0,0.0
MSI2,2.475872,0.20825867,2.1188661456108093,2.8012677669525146,1,1.0,0.0
CLU,2.3543684,0.07199596,2.23068083524704,2.4660492658615114,1,1.0,0.0
CLTC,3.0310369,0.36350834,2.3987372756004337,3.5968124985694883,1,1.0,0.0
SREBF2,2.2177422,0.2914916,1.7369827508926392,2.690920126438141,1,1.0,0.0
ARL6IP5,2.646167,0.3153458,2.1243850350379945,3.138813877105713,1,1.0,0.0
GPX3,4.0769825,0.13672915,3.850302517414093,4.289879775047302,1,1.0,0.0
SPARCL1,2.4345527,0.11371171,2.247443246841431,2.6260687470436093,1,1.0,0.0
EDNRB,2.5200853,0.19389018,2.1821160793304446,2.8371021032333372,1,1.0,0.0
ZNF253,-1.9710983,0.1178779,-2.083988165855408,-1.7385048389434816,1,1.0,0.0
DSTN,2.6547363,0.29180557,2.173022186756134,3.1280842542648313,1,1.0,0.0
NDRG4,2.104056,0.266276,1.6560629546642303,2.5339489817619323,1,1.0,0.0
NDRG2,2.3065202,0.19190107,1.967895758152008,2.592414677143097,1,1.0,0.0
CCND2,-1.7070789,0.114239246,-1.8214805006980896,-1.478031450510025,1,1.0,0.0
APC,2.2634332,0.25525054,1.8484217762947084,2.658852136135101,1,1.0,0.0
NCKAP1,2.6530807,0.40734106,1.934028548002243,3.2667824506759646,1,1.0,0.0
"GLUD1,GLUD2",2.6464918,0.18421909,2.338951218128204,2.948467206954956,1,1.0,0.0
TLE4,2.6855466,0.35382298,2.0920008301734923,3.267222738265991,1,1.0,0.0
APLP2,3.0074666,0.26162234,2.561713254451752,3.4287038445472717,1,1.0,0.0
DUSP15,2.1039815,0.3535691,1.517347025871277,2.660047399997711,1,1.0,0.0
TLE1,2.1231058,0.23142107,1.7223485827445983,2.4794535160064695,1,1.0,0.0
"NBPF20,NBPF1,NBPF14,NBPF8,NBPF19,NBPF15,NBPF9,NBPF25P,NBPF12,NBPF11,LOC102724250,NBPF26,NBPF10",2.7184417,0.1689781,2.4385326623916623,2.9867104530334476,1,1.0,0.0
"NBPF20,NBPF1,NBPF14,NBPF8,NBPF19,NBPF15,NBPF9,NBPF25P,NBPF11,NBPF3,NBPF10",5.238767,0.0827015,5.089469695091247,5.336574840545655,1,1.0,0.0
GLUL,2.688355,0.26031217,2.245609271526337,3.10831823348999,1,1.0,0.0
SPATA13,-2.2951212,0.115864,-2.414829969406128,-2.0723209857940676,1,1.0,0.0
NAV1,2.2839737,0.21529146,1.919816517829895,2.6245414853096007,1,1.0,0.0
DUX4,-2.3914232,0.13447767,-2.532357132434845,-2.1314900279045106,1,1.0,0.0
CNR1,-2.1664343,0.080573656,-2.247261571884155,-2.021784579753876,1,1.0,0.0
TIMP3,3.238486,0.22722016,2.838323879241943,3.5929572582244873,1,1.0,0.0
NANOGNB,-1.9137981,0.06099594,-1.9687774658203125,-1.7986885070800782,1,1.0,0.0
RCHY1,-2.3697054,0.020379303,-2.397506642341614,-2.3325148105621336,1,1.0,0.0
RCN1,2.3905962,0.2554143,1.964631760120392,2.8054143190383907,1,1.0,0.0
NADK2,2.5393496,0.35804567,1.9278384864330291,3.1167234420776366,1,1.0,0.0
TIMP2,1.92853,0.20523381,1.5985405325889588,2.2491275787353517,1,1.0,0.0
ZNF28,-1.885906,0.074181005,-1.9584817647933959,-1.7460499048233034,1,1.0,0.0
MYORG,3.2554739,0.26410842,2.822851824760437,3.6579466462135315,1,1.0,0.0
CNN3,2.2345703,0.091997534,2.076023042201996,2.38402681350708,1,1.0,0.0
ARHGAP21,2.2924495,0.3671356,1.6809286236763,2.8984925627708433,1,1.0,0.0
CNTFR,1.9157296,0.18734558,1.586416018009186,2.2075271129608156,1,1.0,0.0
PUS7,1.8297453,0.22545087,1.4676819026470185,2.2192761182785037,1,1.0,0.0
LRRC10B,2.9756954,0.26566482,2.5198410391807555,3.3940477252006533,1,1.0,0.0
LRP4,2.9157162,0.29991597,2.4143160939216615,3.3991770386695856,1,1.0,0.0
HSPA1A,2.968032,0.21378025,2.6128756046295165,3.319061744213104,1,1.0,0.0
HSP90B1,1.4827892,0.1104675,1.3010343611240387,1.6652670979499817,1,1.0,0.0
CALM1,1.9876368,0.20174667,1.6534432470798492,2.3078770160675046,1,1.0,0.0
HSP90AA1,2.600698,0.112227425,2.4122028231620787,2.7830994009971617,1,1.0,0.0
GARNL3,2.5089004,0.30056134,2.00287344455719,3.0017731189727783,1,1.0,0.0
SLC7A5,1.6841596,0.18830986,1.3636188685894013,1.9950811326503755,1,1.0,0.0
CALR,3.7064269,0.36694244,3.021604573726654,4.274116039276123,1,1.0,0.0
H2AC21,-1.6218736,0.114668116,-1.7724084794521333,-1.4160536766052247,1,1.0,0.0
CALU,2.1794853,0.28236175,1.7214172780513763,2.617122626304626,1,1.0,0.0
H2AC4,-1.7996432,0.06718494,-1.8719477236270903,-1.6768745839595796,1,1.0,0.0
HSD17B12,2.4227793,0.32876834,1.856330245733261,2.9500821590423585,1,1.0,0.0
H2AC6,-1.5716454,0.024487836,-1.6127245426177979,-1.528334307670593,1,1.0,0.0
HS6ST2,1.7149879,0.13407014,1.4897790372371673,1.9295252144336696,1,1.0,0.0
SLCO1C1,3.684213,0.29581234,3.156794881820679,4.1290428876876835,1,1.0,0.0
CDH4,2.0777175,0.19228144,1.7518555879592896,2.38396714925766,1,1.0,0.0
H2AC7,-1.4782499,0.07328802,-1.5861557602882386,-1.3466620683670043,1,1.0,0.0
SLITRK2,2.215253,0.13203762,2.0023693084716796,2.4274222254753113,1,1.0,0.0
HOXB8,2.7490792,0.44744,1.9895956635475158,3.466583287715912,1,1.0,0.0
CANX,1.6423849,0.08111801,1.5159419894218444,1.7730939388275146,1,1.0,0.0
HOPX,2.4538124,0.3761247,1.8250101387500763,3.066457748413086,1,1.0,0.0
SMARCA1,2.3666277,0.4116126,1.6075046718120574,3.0022448539733886,1,1.0,0.0
GATM,2.403793,0.16719903,2.1330108165740964,2.6817750215530394,1,1.0,0.0
CAPNS1,2.0108547,0.28104976,1.5448442816734316,2.4590777873992917,1,1.0,0.0
"HNRNPA1P10,HNRNPA1P33,HNRNPA1L2,HNRNPA1",-2.109165,0.046702493,-2.1563866853713987,-2.0324652433395385,1,1.0,0.0
H2AC8,-1.6334269,0.028240826,-1.6767970085144042,-1.5838062763214111,1,1.0,0.0
VIM,3.2824063,0.091822006,3.125480759143829,3.4275876045227047,1,1.0,0.0
HMGCS1,3.6963627,0.15806977,3.4306219816207886,3.9356505155563353,1,1.0,0.0
HSPA1B,1.5004392,0.050361298,1.4132893323898317,1.582440400123596,1,1.0,0.0
HMGCR,2.402349,0.24696457,1.9941164433956147,2.82028329372406,1,1.0,0.0
"H2AC19,H2AC18",-1.402325,0.030496523,-1.4517799377441407,-1.3500288248062133,1,1.0,0.0
CADM4,3.0480871,0.365121,2.415275251865387,3.5913976311683653,1,1.0,0.0
FUT8,1.6142226,0.10049717,1.4515743196010589,1.7839608907699587,1,1.0,0.0
FUT9,2.8307946,0.3062621,2.294348728656769,3.3256377577781677,1,1.0,0.0
SLC35F1,2.486759,0.21091343,2.132741725444794,2.815158462524414,1,1.0,0.0
IGFBPL1,-1.8538156,0.052398812,-1.905085515975952,-1.7646914958953857,1,1.0,0.0
CDO1,1.6787046,0.10679237,1.5050633966922762,1.8544021368026733,1,1.0,0.0
IGFBP2,2.2998412,0.32808742,1.7596325755119322,2.822315442562103,1,1.0,0.0
H2AC13,-1.8128642,0.04483995,-1.8588109612464905,-1.7289289832115173,1,1.0,0.0
SLC38A3,2.4849477,0.3087208,1.9784030377864839,2.9885803580284116,1,1.0,0.0
STMN1,-1.9236193,0.07075456,-1.9913167357444763,-1.8076671361923218,1,1.0,0.0
H2AC14,-1.8088323,0.042875573,-1.85762060880661,-1.7266295552253725,1,1.0,0.0
STK39,2.4230404,0.2662602,1.9655500948429108,2.8414380073547356,1,1.0,0.0
SLC3A2,2.7313502,0.338008,2.128026247024536,3.2725382685661315,1,1.0,0.0
FZD8,2.7273111,0.13827154,2.508100187778473,2.9533415794372555,1,1.0,0.0
IFITM3,1.952838,0.17971025,1.6487234950065615,2.2486464738845826,1,1.0,0.0
SLC43A2,2.6040914,0.37686506,1.956058096885681,3.194765996932983,1,1.0,0.0
SLC44A2,3.996964,0.29572096,3.4734859585762026,4.416268730163575,1,1.0,0.0
