,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,FDR,Receptors
43,0.9062974254566709,4,ERBB4,0.16383975274358922,0.07780498615928859,-6.283632995038692,5.755132699092951,11.779943413333898,SE,10,0.009046905079148222,1.083594376618785,0.0008552074432373047,21.777606362053568,-9.665402223043781,3.381769228005089,0.06592125576047847,0.869955565680106,0.869955565680106,HBEGF
42,0.9561154027385063,4,CRH,0.16383975274358922,0.03454048687324262,-3.1092178095857825,4.5559281694441705,7.684361815827705,SE,10,0.010869646989112185,4.887149718617795,0.0009250640869140625,15.428775991147749,-6.043637533793532,2.93441972420775,0.08670981582239401,0.869955565680106,0.869955565680106,CRHR2
41,0.7559461635479386,4,PTN,0.09594774986850078,0.2783109527763709,-3.4965071580976272,6.704103049021753,18.517766696474016,SE,10,1.0669407764489862,32.70437437471469,0.0009548664093017578,16.203354688171437,-3.9380825527139045,0.44157539461627726,0.506363057981041,0.869955565680106,0.869955565680106,PTPRS
36,0.9999519162967685,4,FGFR1,0.05618887083671218,4.5399929762484854e-05,1.1525496565409208,4.8588512491097156,15.972628646159441,SE,10,25.212057875541035,7897236745.472234,0.0005824565887451172,6.905241058894342,0.766953576676368,0.3855960798645528,0.534623420942798,0.869955565680106,0.869955565680106,NCAM1
39,0.879780360727594,4,MDK,0.05618887083671218,0.12901421000182528,0.44205278573805096,5.947629175464976,21.947137891521148,SE,10,92.05725868387225,7406.1138489815075,0.0008428096771240234,8.326234800500082,0.12442011526654184,0.3176326704715091,0.573033808539495,0.869955565680106,0.869955565680106,LRP1
37,0.7087411410201432,4,FGFR2,0.05618887083671218,0.38799657355290235,-2.3236268419114623,5.595472770739197,16.73396651382008,SE,10,31.7456656159655,808.426428614327,0.0006678104400634766,13.857594055799108,-2.5505330592783526,0.22690621736689032,0.6338273712389588,0.869955565680106,0.869955565680106,XPR1
32,0.7187215848384211,4,CCL21,0.05618887083671218,0.3694980139654863,-1.2325688139107926,4.093034517278572,9.063602756373648,SE,10,38.81972683996884,1022.9488806137385,0.0006413459777832031,11.675477999797769,-1.456985637198656,0.2244168232878634,0.6356949336096922,0.869955565680106,0.869955565680106,CCR7
35,0.604684685735755,4,DLL1,0.05618887083671218,0.6172357312995359,-2.673566207477702,5.01122322158444,11.963324247530512,SE,10,19.116882715844174,384.36016223498575,0.0006349086761474609,14.557472786931587,-2.883974569422403,0.21040836194470103,0.6464475222612521,0.869955565680106,0.869955565680106,NOTCH2
10,0.9999541781168118,4,EREG,0.03290529699999993,4.5399929762484854e-05,-0.5012335553355856,1.2478392073425433,1.5051289180084606,SE,10,199.7752954947783,68905596092.01404,0.00054931640625,10.212807482647355,-0.6256516443563491,0.12441808902076357,0.7242912531363737,0.869955565680106,0.869955565680106,EGFR
16,0.9999541781168119,4,IFNA8,0.03290529699999993,4.5399929762484854e-05,-0.8322943866510544,4.126144419904023,15.815495790891472,SE,10,144.0568619540595,49687444683.91673,0.0005950927734375,10.874929145278292,-0.9543404383598357,0.12204605170878136,0.7268258895661444,0.869955565680106,0.869955565680106,GPR152
28,0.9999541781168118,4,WNT1,0.03290529699999993,4.5399929762484854e-05,-2.781502590771022,4.130227599883429,15.879787893085847,SE,10,167.25823435107782,57689957663.258896,0.00046563148498535156,14.773345553518228,-2.8957668000938384,0.11426420932281633,0.7353406601237675,0.869955565680106,0.869955565680106,RYK
33,0.3919469758394234,4,COPA,0.05618887083671218,1.4647062165589841,-0.7148592124486068,5.347252349317572,9.681795870447337,SE,10,17.83531918882132,360.30724824454467,0.0006496906280517578,10.640058796873397,-0.820722913020548,0.10586370057194117,0.7449033096367554,0.869955565680106,0.869955565680106,SORT1
38,0.4820016259624871,4,INS,0.05618887083671218,1.014650054829328,-2.329643847817082,4.0153040404833,6.470301720622845,SE,10,23.1224170594537,433.9851502519402,0.0005030632019042969,13.869628067610346,-2.432771587693008,0.10312773987592605,0.7481080267326912,0.869955565680106,0.869955565680106,INSR
9,0.9999541781168118,4,EPO,0.03290529699999993,4.5399929762484854e-05,-1.608834051355342,4.167852276274411,16.147102310338948,SE,10,532.5773538401064,183694184711.73886,0.0004911422729492188,12.428008474686868,-1.7046413056770469,0.09580725432170478,0.7569203198271379,0.869955565680106,0.869955565680106,EFNB2
2,0.9999541781168119,4,CSF1,0.03290529699999993,4.5399929762484854e-05,-1.1456768493663274,4.251047858046261,16.78772096679206,SE,10,624.0605194242972,215248146583.0614,0.0007109642028808594,11.501694070708838,-1.2370382299487623,0.09136138058243493,0.7624535242126708,0.869955565680106,0.869955565680106,CELSR3
0,0.9999541781168119,4,CD70,0.03290529699999993,4.5399929762484854e-05,-1.867128558465562,4.022496210956521,15.05032533252177,SE,10,951.9845072864406,328354213079.6099,0.0004723072052001953,12.944597488907307,-1.9456691201019094,0.07854056163634748,0.7792850252882991,0.869955565680106,0.869955565680106,CD27
30,0.9999541781168118,4,WNT5A,0.03290529699999993,4.5399929762484854e-05,-3.948064954994538,3.3464330584977238,10.486825859572603,SE,10,1404.8876316592998,484567521035.2112,0.0005331039428710938,17.106470281965258,-4.020019905421925,0.07195495042738731,0.788511355124264,0.869955565680106,0.869955565680106,FZD3
3,0.9999541781168118,4,DLK1,0.03290529699999993,4.5399929762484854e-05,-0.378517930838254,4.193764176659327,16.329794927044226,SE,10,2586.3208179689295,892062140147.6539,0.0012154579162597656,9.967376233652692,-0.44194202486449896,0.06342409402624494,0.8011636508000584,0.869955565680106,0.869955565680106,NOTCH3
27,0.9999541781168118,4,VEGFB,0.03290529699999993,4.5399929762484854e-05,-0.6975838647754538,4.89838385665918,22.25918501973506,SE,10,8515.18142105269,2937018064201.1113,0.0004620552062988281,10.605508101527091,-0.7559698453562582,0.058385980580804464,0.8090653929751113,0.869955565680106,0.869955565680106,NRP1
17,0.9999541781168119,4,INHBC,0.03290529699999993,4.5399929762484854e-05,-1.6958714758718978,4.328026027513248,17.407110685256953,SE,10,16724278.805021293,5768462999466066.0,0.0004982948303222656,12.60208332371998,-1.744367860238306,0.04849638436640813,0.8257006416865548,0.869955565680106,0.869955565680106,ACVR2B
34,0.1953268028567749,4,CORT,0.05618887083671218,3.8895027604884733,-0.8437903717338457,4.054753213364632,3.0647304733894822,SE,10,43.981799331177925,1766.8078699160599,0.0007989406585693359,10.897921115443875,-0.8872510359537671,0.04346066421992134,0.8348602756367668,0.869955565680106,0.869955565680106,SSTR4
18,0.9999541781168118,4,INHBE,0.03290529699999993,4.5399929762484854e-05,-1.5544225930625446,4.390349807333418,17.90734955806499,SE,10,62445.36792989289,21538375351811.21,0.0004863739013671875,12.319185558101273,-1.5924423100691634,0.03801971700661877,0.8454035527063706,0.869955565680106,0.869955565680106,ACVR2A
22,0.9999541781168119,4,PLXNB2,0.03290529699999993,4.5399929762484854e-05,0.5066448646274617,5.582052441317435,28.87156979060324,SE,10,12211.196621731173,4211830998088.387,0.0004658699035644531,8.19705064272126,0.46877256267101686,0.037872301956444865,0.8456997827986167,0.869955565680106,0.869955565680106,SEMA4C
40,0.10919482871854727,4,VEGFA,0.05618887083671218,7.7022400181667,-2.6100768701276973,6.198130048366133,4.185483947438742,SE,10,29.233937132116658,2734.8306375173133,0.0008416175842285156,14.430494112231578,-2.6436812645572516,0.03360439442955432,0.8545508543883485,0.869955565680106,0.869955565680106,EPHB2
11,0.49733157698644487,4,FAM3C,0.03290529699999993,1.00137770070194,0.00866696491207719,6.436184261649883,19.91065186138396,SE,10,24448.196899845814,457954.25241574657,0.0004687309265136719,9.19300644215203,-0.018823761603494304,0.027490726515571495,0.8683117674999774,0.869955565680106,0.869955565680106,HLA-C
5,2.0420797913064773e-09,4,EFNA1,0.03290529699999993,485165195.4097903,-2.7002064483260853,4.819453537130747,4.808178456824863e-08,SE,10,58535.40330269206,1.0163627878961423e+22,0.00046825408935546875,14.610753268628354,-2.727009026606062,0.026802578279976785,0.8699555637536825,0.869955565680106,0.869955565680106,EPHA3
