,Gene,Total Counts,Removed Counts,Fraction Removed Counts (Mean),Fraction Removed Counts (q05),Fraction Removed Counts (q95),Mean Counts
NR4A2,NR4A2,11015,4,0.00036314118,0.0,0.0011802088061733998,148
KLHL1,KLHL1,10632,4,0.0003762227,9.405568096313017e-05,0.0009405568096313017,143
NEUROD2,NEUROD2,41906,3,7.1588795e-05,0.0,0.0004533956951271894,566
GPR12,GPR12,7919,3,0.0003788357,0.0,0.0007576714231594899,107
NECAB1,NECAB1,7923,3,0.00037864444,0.0,0.0007572889057175312,107
NAV2,NAV2,8072,3,0.0003716551,0.0,0.0006194251734390486,109
FOXP1,FOXP1,9753,3,0.00030759766,0.0,0.0008202604326873783,131
IQCJ,IQCJ,9321,3,0.00032185388,0.0,0.0005364231305653899,125
EPHA6,EPHA6,9037,3,0.00033196856,0.0,0.0006639371472833905,122
FRRS1L,FRRS1L,8935,3,0.00033575826,0.0,0.0008953553441522104,120
KHDRBS2,KHDRBS2,8847,3,0.000339098,0.0,0.0009042613315248107,119
RPRM,RPRM,8617,3,0.000348149,0.0,0.0005802483462922131,116
RSPO3,RSPO3,7760,2,0.00025773197,0.0,0.0006443298969072165,104
NPY1R,NPY1R,8772,1,0.000113999085,0.0,0.00045599635202918376,118
