,g,pattern,membership
424,CRAMP1,10,0.7624426221662717
425,CSTF1,14,0.9560301211229791
426,CTNNBL1,13,0.9443070779176744
427,CWF19L1,8,0.47281414526338056
428,"CXorf40B,CXorf40A",14,0.5196682532087741
429,DAGLB,14,0.9972420684612232
430,DCTN4,3,0.8380637123388048
431,DNAJC16,13,0.9976964480273008
432,DNAJC19,8,0.9297081230913475
433,DNTTIP1,2,0.7421553156888384
434,DPH3,5,0.856414570298883
435,DPM1,0,0.8610622768087326
436,DXO,2,0.9945022636353542
437,EAPP,13,0.5422847073887765
438,EDEM1,2,0.4987801884146851
439,EI24,7,0.9888566811210276
440,EIF2B4,5,0.997309716518208
441,EIPR1,12,0.6204117125511399
442,ELAVL3,11,0.5585183675297776
444,ELP3,11,0.896731261195363
446,EML2,12,0.8330253147553554
447,ENGASE,0,0.9954780861205107
448,ERMARD,8,0.7726302226088397
449,"ERV3-1-ZNF117,ZNF117",10,0.41601363251252066
450,ETFDH,14,0.7869026786006283
451,EXOSC8,11,0.6465321882633058
452,FAM149B1,0,0.7122505500638973
453,FAM169B,8,0.9943554604112294
454,"FAM185A,FAM185BP",8,0.8331354944188862
455,FAM219B,13,0.9995215574724045
456,FAM229A,0,0.643114034122115
457,FAM92A,5,0.9641863147908829
458,FASTKD5,7,0.9903153236530186
459,FBXO46,13,0.5622843489896348
460,FITM1,0,0.7303376171941235
461,FMR1,13,0.9999534529214713
462,FOPNL,14,0.515307472609824
463,FOXF2,2,0.9291566740782954
464,FRMD5,14,0.9999562835671363
465,FRS3,0,0.9861778394851438
466,FXR2,11,0.9988136323302479
467,FZD2,5,0.7140369930408386
468,GALNT3,11,0.9514225079996754
469,GALR2,2,0.9287716243007972
470,GALR3,14,0.9962708369751757
472,GCN1,10,0.4792005086666278
473,GDPD3,0,0.6992087379477722
474,GFRA2,11,0.821436888170926
475,GJA5,8,0.6304552425081847
476,GMPR2,8,0.8505399486571031
477,GNL3L,7,0.8399782510557486
478,GOLGA5,12,0.9614555237618913
480,GPATCH2,13,0.9018310206399657
481,GPN3,0,0.9277067090427802
483,GPX1,7,0.612974654940068
484,GRK6,7,0.9420092229590237
485,GRPEL1,8,0.6202940704069965
486,GSR,8,0.75808713835855
488,"GTF2H2C,GTF2H2B,GTF2H2C_2,GTF2H2",5,0.9709481036345221
489,GTF3C2,14,0.9733529318252689
491,GUF1,11,0.46817280648224585
492,HAS1,7,0.53204715082949
493,HBS1L,5,0.9952965932492159
494,HCFC1,11,0.9326571749410746
495,HCRTR1,5,0.7266655958729424
496,HERC4,4,0.7367496920808164
497,HGSNAT,7,0.41446349494219803
498,HINT2,8,0.8765289914069011
499,HMCES,5,0.9918398195183136
500,HMGXB3,11,0.8843787111465918
501,"HSFY2,HSFY1",0,0.6717427150807664
503,IFNAR1,13,0.9986628992992116
504,IFRD1,11,0.9984468771249408
505,IFT27,1,0.9244940435908776
506,IMMT,11,0.9992534770260361
507,INPP5E,8,0.9331885822913404
508,INTS7,13,0.6924221056867612
509,IPO8,11,0.9998741498525431
511,IQCB1,2,0.9882498521402793
512,IRAK1BP1,2,0.9123058314581908
513,IRGC,7,0.9305609037143138
514,KDELR1,11,0.9999953176194444
515,KDM4A,4,0.9959052575423963
516,KLHL42,0,0.8062190895790898
517,KMT2B,7,0.9529989568584613
518,KRT14,8,0.7719355286843357
519,KRTAP19-3,7,0.9577698560860353
520,LBX2,0,0.9866743817464012
521,LDLRAD1,13,0.9453338369247959
522,LIG3,14,0.6589368486410672
523,LLCFC1,0,0.9556474389770548
524,LSM1,13,0.43069155892184446
525,LSM12,5,0.9989778258026496
527,LYPLA1,13,0.531952324283238
528,LZTFL1,13,0.9494859467874701
529,LZTS2,2,0.9353584088141056
530,MAP10,8,0.9718204786874195
531,MED16,13,0.9550474744816055
