,Gene,Total Counts,Removed Counts,Fraction Removed Counts (Mean),Fraction Removed Counts (q05),Fraction Removed Counts (q95),Mean Counts
MAP1B,MAP1B,147356,62,0.00042074974,0.0002918103097261055,0.0005021851841798095,1991
PRKACB,PRKACB,9813,4,0.00040762255,0.00010190563538163661,0.0013247732599612758,132
NEFL,NEFL,14795,6,0.0004055424,0.00020277120648867861,0.0012842176410949645,199
FABP7,FABP7,108893,42,0.00038569974,0.000284683129310424,0.0005785495853727971,1471
GPR12,GPR12,7919,3,0.0003788357,0.0,0.0007576714231594899,107
NECAB1,NECAB1,7923,3,0.00037864444,0.0,0.0007572889057175312,107
KLHL1,KLHL1,10632,4,0.0003762227,9.405568096313017e-05,0.0009405568096313017,143
NAV2,NAV2,8072,3,0.0003716551,0.0,0.0006194251734390486,109
STMN1,STMN1,180858,66,0.00036492717,0.0002598723860708401,0.00045339437569806145,2444
NR4A2,NR4A2,11015,4,0.00036314118,0.0,0.0011802088061733998,148
SYNGR3,SYNGR3,11158,4,0.0003584872,0.0001792435920415845,0.0011650833482702992,150
TRIM67,TRIM67,11194,4,0.0003573343,0.00017866714311238162,0.0011613364302304806,151
RPRM,RPRM,8617,3,0.000348149,0.0,0.0005802483462922131,116
BHLHE22,BHLHE22,11570,4,0.0003457217,0.0,0.0012964563526361278,156
PCSK2,PCSK2,11663,4,0.00034296492,8.574123295892996e-05,0.0011146360284660893,157
KHDRBS2,KHDRBS2,8847,3,0.000339098,0.0,0.0009042613315248107,119
FRRS1L,FRRS1L,8935,3,0.00033575826,0.0,0.0008953553441522104,120
EPHA6,EPHA6,9037,3,0.00033196856,0.0,0.0006639371472833905,122
IQCJ,IQCJ,9321,3,0.00032185388,0.0,0.0005364231305653899,125
FOXP1,FOXP1,9753,3,0.00030759766,0.0,0.0008202604326873783,131
ISLR2,ISLR2,49097,15,0.00030551763,8.147137299631342e-05,0.0006721388272195858,663
SYBU,SYBU,15301,4,0.00026142082,0.00013071041108424287,0.0008496176720475786,206
RSPO3,RSPO3,7760,2,0.00025773197,0.0,0.0006443298969072165,104
NEUROD6,NEUROD6,66314,13,0.00019603704,6.0319087975389814e-05,0.0004222336158277287,896
ADRA2A,ADRA2A,34720,4,0.000115207375,0.0,0.0007488479262672812,469
NPY1R,NPY1R,8772,1,0.000113999085,0.0,0.00045599635202918376,118
SATB2,SATB2,73965,8,0.00010815926,2.703981612925032e-05,0.0003109578854863787,999
NEUROD2,NEUROD2,41906,3,7.1588795e-05,0.0,0.0004533956951271894,566
TUBB2A,TUBB2A,129296,6,4.6405148e-05,0.0,0.00020108897413686426,1747
STMN2,STMN2,144820,4,2.7620494e-05,0.0,0.00013119734843253694,1957
