Sample_ID	DSP_Sample_ID	Plate	dsp_plate	roi	segment_type	segment	aoi	roi_dimension	nuclei	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOD2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
HCA_F_BRA8739312	DSP1001660005648_E05	DSP1001660005648	1.00166E+12	22	geometric	Geometric Segment	Geometric Segment-aoi-001	181768.911	1924	908751	260272	154477	33596	25006	25.56852006	HCA_F_BRA8739312	1	1	1	0.043598114	0.016814596	0.011724356
HCA_F_BRA8739081	DSP1001660005648_A02	DSP1001660005648	1.00166E+12	1	exclusion_sub2	ROI1_exclusion sub2	ROI1_exclusion sub2-aoi-001	11652.28638	360	1186388	1185515	1151491	519163	228006	56.08200122	HCA_F_BRA8739081	3.274337331	1.932325373	16.99511317	0.142754931	0.168145961	0.170146006
HCA_F_BRA8739259	DSP1001660005641_C11	DSP1001660005641	1.00166E+12	33	exclusion_sub4	ROI33_exclude sub4	ROI33_exclude sub4-aoi-001	1676.33925	55	1206957	1206242	1171656	508827	194625	61.75026089	HCA_F_BRA8739259	2.646450976	1.851387888	12.34262115	0.11538027	0.151331365	0.164658671
HCA_F_BRA8739229	DSP1001660005641_E07	DSP1001660005641	1.00166E+12	38	exclusion_sub4	ROI38_exclusion sub4	ROI38_exclusion sub4-aoi-001	2240.538937	82	1265756	1264957	1228230	592486	237503	59.91415831	HCA_F_BRA8739229	3.561149701	1.845825219	16.48415422	0.155259409	0.184960557	0.197869575
HCA_F_BRA8739196	DSP1001660005641_D03	DSP1001660005641	1.00166E+12	34	exclusion_sub4	ROI34_exclusion sub4	ROI34_exclusion sub4-aoi-001	2929.134079	95	1260624	1259430	1222484	559707	244345	56.34412291	HCA_F_BRA8739196	3.525568045	1.718898671	13.65698369	0.153708116	0.184960557	0.209483505
HCA_F_BRA8739207	DSP1001660005641_G04	DSP1001660005641	1.00166E+12	45	geometric	Geometric Segment	Geometric Segment-aoi-001	1950.388119	16	1320051	1319259	1281936	562426	160000	71.55181304	HCA_F_BRA8739207	2.158490969	1.813872328	9.564604675	0.094106134	0.117702172	0.15130942
HCA_F_BRA8739336	DSP1001660005648_E08	DSP1001660005648	1.00166E+12	25	geometric	Geometric Segment	Geometric Segment-aoi-001	41065.81255	468	1330027	237640	192765	49627	36151	27.15457312	HCA_F_BRA8739336	1.071604214	1.251370632	1.87715143	0.046719922	0.033629192	0.0144265
HCA_F_BRA8739264	DSP1001660005641_H11	DSP1001660005641	1.00166E+12	17	exclusion_sub4	ROI17_exclusion sub4	ROI17_exclusion sub4-aoi-001	2664.083358	84	1448219	1447291	1403677	670597	215997	67.79034204	HCA_F_BRA8739264	3.155163391	1.917158172	16.05708539	0.137559172	0.168145961	0.184734154
HCA_F_BRA8739104	DSP1001660005648_C03	DSP1001660005648	1.00166E+12	7	exclusion_sub4	ROI7_exclusion sub4	ROI7_exclusion sub4-aoi-001	2572.681114	80	1495972	1494784	1451339	650842	271965	58.21336054	HCA_F_BRA8739104	3.417517639	1.89537751	16.90246606	0.148997322	0.201775153	0.223446094
HCA_F_BRA8739109	DSP1001660005640_E04	DSP1001660005640	1.00166E+12	44	center	Scan 00MR ROIs - ROI 044 centre	Scan 00MR ROIs - ROI 044 centre-aoi-001	17846.48541	230	1576601	1575737	1531203	882001	370971	57.93984361	HCA_F_BRA8739109	4.613858615	1.928498911	23.82938187	0.201155532	0.302662729	0.464784203
HCA_F_BRA8739316	DSP1001660005647_D06	DSP1001660005647	1.00166E+12	22	exclusion_sub4	ROI22_exclusion sub4	ROI22_exclusion sub4-aoi-001	4989.394324	168	1610026	1301723	1237422	832652	349604	58.01319159	HCA_F_BRA8739316	3.823034562	1.82912665	17.29886733	0.166677095	0.218589749	0.259448066
HCA_F_BRA8739089	DSP1001660005640_A02	DSP1001660005640	1.00166E+12	1	geometric	Geometric Segment	Geometric Segment-aoi-001	12170.86387	68	1627854	1626185	1581216	1299883	419584	67.72140262	HCA_F_BRA8739089	3.68696474	1.81234546	16.30314702	0.160744707	0.386735709	0.530719448
HCA_F_BRA8739140	DSP1001660005640_D08	DSP1001660005640	1.00166E+12	38	center	Scan 00MR ROIs - ROI 038 centre	Scan 00MR ROIs - ROI 038 centre-aoi-001	18481.56524	311	1630092	1628784	1580771	916379	388859	57.56570153	HCA_F_BRA8739140	5.413428175	1.751328683	21.97311004	0.236015256	0.336291921	0.446225081
HCA_F_BRA8739117	DSP1001660005640_E05	DSP1001660005640	1.00166E+12	44	ring	Scan 00MR ROIs - ROI 044 ring	Scan 00MR ROIs - ROI 044 ring-aoi-001	34993.00959	390	1635476	1634357	1588190	911107	376399	58.68772823	HCA_F_BRA8739117	6.186957193	1.667103656	22.20156664	0.269739662	0.319477325	0.3982938
HCA_F_BRA8739276	DSP1001660005647_D01	DSP1001660005647	1.00166E+12	21	exclusion_sub2	ROI21_exclusion sub2	ROI21_exclusion sub2-aoi-001	7744.564202	277	1684007	1576230	1524237	909025	324927	64.25543852	HCA_F_BRA8739276	4.878152006	1.766137789	20.22165917	0.212678225	0.269033537	0.305451131
HCA_F_BRA8739338	DSP1001660005647_B09	DSP1001660005647	1.00166E+12	16	exclusion_sub4	ROI16_exclusion sub4	ROI16_exclusion sub4-aoi-001	7066.545831	233	1693704	1682349	1579828	1046464	382426	63.45540793	HCA_F_BRA8739338	6.569826826	1.699197406	24.72654933	0.286432056	0.336291921	0.37070126
HCA_F_BRA8739308	DSP1001660005647_D05	DSP1001660005647	1.00166E+12	22	exclusion_sub2	ROI22_exclusion sub2	ROI22_exclusion sub2-aoi-001	8082.231558	276	1775096	1575589	1484880	917206	361542	60.58224652	HCA_F_BRA8739308	5.981755702	1.824988833	26.91405902	0.260793264	0.302662729	0.353800535
HCA_F_BRA8739197	DSP1001660005641_E03	DSP1001660005641	1.00166E+12	37	exclusion_sub4	ROI37_exclude sub4	ROI37_exclude sub4-aoi-001	3978.286603	150	1770968	1769921	1719387	758652	378749	50.07605595	HCA_F_BRA8739197	5.209284355	1.703425122	19.72811924	0.227114971	0.269033537	0.311308882
HCA_F_BRA8739110	DSP1001660005640_F04	DSP1001660005640	1.00166E+12	56	geometric	Scan 00MR ROIs - ROI 056 centre 3	Scan 00MR ROIs - ROI 056 centre 3-aoi-001	31566.45156	704	1820334	1818987	1767110	1209004	667793	44.76502973	HCA_F_BRA8739110	11.18070959	1.482064328	29.89764654	0.487457846	0.588510862	0.687328747
HCA_F_BRA8739167	DSP1001660005648_B11	DSP1001660005648	1.00166E+12	6	exclusion_sub4	ROI6_exclusion sub4	ROI6_exclusion sub4-aoi-001	5001.391856	113	1822533	1821331	1768565	857948	362023	57.8036198	HCA_F_BRA8739167	5.317435447	1.771379249	22.20655082	0.231830154	0.269033537	0.285441605
HCA_F_BRA8739148	DSP1001660005640_D09	DSP1001660005640	1.00166E+12	38	ring	Scan 00MR ROIs - ROI 038 ring	Scan 00MR ROIs - ROI 038 ring-aoi-001	36226.07164	556	2171023	2169736	2108160	1199857	496615	58.61048442	HCA_F_BRA8739148	7.506831319	1.585205093	23.7503659	0.327283684	0.437179497	0.55559116
HCA_F_BRA8739114	DSP1001660005640_B05	DSP1001660005640	1.00166E+12	16	center	Scan 00MR ROIs - ROI 016 centre	Scan 00MR ROIs - ROI 016 centre-aoi-001	20669.85178	452	2301207	2299611	2234317	1298386	559953	56.87314866	HCA_F_BRA8739114	7.231966112	1.654258706	25.45452251	0.31530008	0.487623286	0.652664082
HCA_F_BRA8739262	DSP1001660005641_F11	DSP1001660005641	1.00166E+12	42	exclusion_sub4	ROI42_exclude sub4	ROI42_exclude sub4-aoi-001	7163.94684	200	2634002	2632649	2556034	1177007	453942	61.43251484	HCA_F_BRA8739262	6.392282136	1.807916701	28.09324952	0.278691442	0.353106517	0.369714232
HCA_F_BRA8739331	DSP1001660005647_C08	DSP1001660005647	1.00166E+12	19	exclusion_sub2	ROI19_exclusion sub2	ROI19_exclusion sub2-aoi-001	16225.39794	381	2745940	2673318	2576060	1647665	676941	58.91513141	HCA_F_BRA8739331	12.60231911	1.607314831	41.27649884	0.549437339	0.571696266	0.644792862
HCA_F_BRA8739199	DSP1001660005641_G03	DSP1001660005641	1.00166E+12	44	geometric	Geometric Segment	Geometric Segment-aoi-001	4436.876444	48	2740484	2739008	2661696	1176425	352125	70.06821514	HCA_F_BRA8739199	4.666306087	1.836598481	21.3308801	0.203442143	0.252218941	0.316970119
HCA_F_BRA8739149	DSP1001660005640_E09	DSP1001660005640	1.00166E+12	49	geometric	Geometric Segment	Geometric Segment-aoi-001	237278.1724	675	2735337	2730012	2636785	1707414	347727	79.63428905	HCA_F_BRA8739149	7.857175262	1.632981861	26.77440586	0.342558019	0.319477325	0.317881939
HCA_F_BRA8739254	DSP1001660005641_F10	DSP1001660005641	1.00166E+12	42	exclusion_sub2	ROI42_exclude sub2	ROI42_exclude sub2-aoi-001	7250.13963	172	2775727	2774383	2694172	1207547	446455	63.02794011	HCA_F_BRA8739254	6.499564675	1.728606712	25.53434707	0.283368759	0.319477325	0.321938769
HCA_F_BRA8739122	DSP1001660005640_B06	DSP1001660005640	1.00166E+12	16	ring	Scan 00MR ROIs - ROI 016 ring	Scan 00MR ROIs - ROI 016 ring-aoi-001	37165.5099	772	2868171	2863372	2783122	1603575	692739	56.80033675	HCA_F_BRA8739122	10.01492673	1.516887273	28.381219	0.436631912	0.622140054	0.729055847
HCA_F_BRA8739330	DSP1001660005647_B08	DSP1001660005647	1.00166E+12	16	exclusion_sub2	ROI16_exclusion sub2	ROI16_exclusion sub2-aoi-001	12604.19576	417	2868980	2866221	2771147	1756596	668759	61.92869618	HCA_F_BRA8739330	14.22192093	1.592856629	45.54072895	0.620048923	0.571696266	0.600958775
HCA_F_BRA8739107	DSP1001660005640_C04	DSP1001660005640	1.00166E+12	26	center	Scan 00MR ROIs - ROI 026 centre	Scan 00MR ROIs - ROI 026 centre-aoi-001	32947.11481	746	3277915	3275899	3180248	1843602	934737	49.29833012	HCA_F_BRA8739107	14.17444972	1.443304447	35.47325839	0.617979268	0.807100611	0.962339725
HCA_F_BRA8739118	DSP1001660005640_F05	DSP1001660005640	1.00166E+12	56	ring	Scan 00MR ROIs - ROI 056 ring 3	Scan 00MR ROIs - ROI 056 ring 3-aoi-001	49322.63976	1169	3346343	3344408	3251140	2147781	927914	56.79661939	HCA_F_BRA8739118	16.34621937	1.420393391	39.30419719	0.712664328	0.823915207	0.871295565
HCA_F_BRA8739252	DSP1001660005641_D10	DSP1001660005641	1.00166E+12	36	exclusion_sub2	ROI36_exclusion sub2	ROI36_exclusion sub2-aoi-001	6949.096316	227	3358364	3355742	3248334	1516740	607969	59.91606999	HCA_F_BRA8739252	8.432613512	1.689864149	31.30341196	0.367646041	0.420364901	0.452998972
HCA_F_BRA8739095	DSP1001660005648_B02	DSP1001660005648	1.00166E+12	4	exclusion_sub2	ROI4_exclusion sub2	ROI4_exclusion sub2-aoi-001	14478.65213	334	3414931	3412689	3315139	1662337	774203	53.42683222	HCA_F_BRA8739095	11.14315518	1.546272658	33.13014752	0.485820545	0.521252478	0.605391202
HCA_F_BRA8739127	DSP1001660005648_B06	DSP1001660005648	1.00166E+12	5	exclusion_sub2	ROI5_exclusion sub2	ROI5_exclusion sub2-aoi-001	13889.98379	327	3468131	3465152	3364973	1648890	762262	53.77120366	HCA_F_BRA8739127	11.52784548	1.576502127	35.97365365	0.502592316	0.504437882	0.581869024
HCA_F_BRA8739219	DSP1001660005641_C06	DSP1001660005641	1.00166E+12	29	geometric	Geometric Segment	Geometric Segment-aoi-001	95551.81083	736	3457323	3454507	3358024	1636823	1277409	21.95802478	HCA_F_BRA8739219	15.07003213	1.463793733	39.06734402	0.657024972	0.907988187	1.218146052
