Sample_ID	DSP_Sample_ID	Plate	dsp_plate	roi	segment_type	segment	aoi	roi_dimension	nuclei	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOD2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
HCA_F_BRA8739103	DSP1001660005648_B03	DSP1001660005648	1.00166E+12	4	exclusion_sub4	ROI4_exclusion sub4	ROI4_exclusion sub4-aoi-001	19039.92403	248	5694466	5690716	5527369	2813204	1251141	55.52611897	HCA_F_BRA8739103	18.40823538	1.460214685	47.43008887	0.802564336	0.891173591	1.087176743
HCA_F_BRA8739230	DSP1001660005641_F07	DSP1001660005641	1.00166E+12	41	exclusion_sub4	ROI41_exclusion sub4	ROI41_exclusion sub4-aoi-001	14285.74446	330	5808306	5805347	5638877	2736477	1030114	62.3561974	HCA_F_BRA8739230	15.9540736	1.500442913	43.99671817	0.695567512	0.756656823	0.879698085
HCA_F_BRA8739129	DSP1001660005640_A07	DSP1001660005640	1.00166E+12	6	geometric	Geometric Segment	Geometric Segment-aoi-001	43315.19177	468	5889542	5883531	5709485	3875431	1135165	70.70867731	HCA_F_BRA8739129	13.97975022	1.589705957	44.54422591	0.609490737	0.992061167	1.355668325
HCA_F_BRA8739121	DSP1001660005640_A06	DSP1001660005640	1.00166E+12	5	geometric	Geometric Segment	Geometric Segment-aoi-001	230445.2627	491	6008169	6004358	5837767	3775606	1198683	68.25190446	HCA_F_BRA8739121	27.81782113	1.368087591	60.89867866	1.212804524	1.092948744	1.072029687
HCA_F_BRA8739294	DSP1001660005647_F03	DSP1001660005647	1.00166E+12	32	geometric	Geometric Segment	Geometric Segment-aoi-001	60265.8089	585	6013526	4815863	4518917	2670437	1005825	62.33481636	HCA_F_BRA8739294	16.62830164	1.831563837	75.49236725	0.724962583	0.857544399	0.822917921
HCA_F_BRA8739168	DSP1001660005648_C11	DSP1001660005648	1.00166E+12	9	exclusion_sub4	ROI9_exclusion sub4	ROI9_exclusion sub4-aoi-001	20400.53878	295	6049084	6045942	5872135	2921497	1246321	57.33964471	HCA_F_BRA8739168	18.88970896	1.568074959	58.16239957	0.823555676	0.874358995	1.065641075
HCA_F_BRA8739292	DSP1001660005647_D03	DSP1001660005647	1.00166E+12	21	ring	ROI21_Rings	ROI21_Rings-aoi-001	39163.88814	877	6049079	5560599	5351499	3120991	1221905	60.84881373	HCA_F_BRA8739292	17.90212424	1.566557495	54.9883152	0.780498845	1.042504956	1.291991143
HCA_F_BRA8739253	DSP1001660005641_E10	DSP1001660005641	1.00166E+12	39	exclusion_sub2	ROI39_exclude sub2	ROI39_exclude sub2-aoi-001	15437.03386	429	6100176	6097163	5923215	2864814	1163750	59.3778165	HCA_F_BRA8739253	18.76034129	1.552042896	56.29891635	0.817915489	0.790286015	0.841782731
HCA_F_BRA8739096	DSP1001660005648_C02	DSP1001660005648	1.00166E+12	7	exclusion_sub2	ROI7_exclusion sub2	ROI7_exclusion sub2-aoi-001	12542.15589	379	6156491	6151351	5966463	2629681	1278425	51.38478774	HCA_F_BRA8739096	18.09976273	1.476666677	47.95998827	0.78911551	0.857544399	1.009616403
HCA_F_BRA8739174	DSP1001660005648_A04	DSP1001660005648	1.00166E+12	1	ring	ROI1_ring	ROI1_ring-aoi-001	51139.47641	1032	6127297	6123822	5951671	2621004	1133180	56.76542272	HCA_F_BRA8739174	18.92431275	1.396016844	43.57593985	0.825064336	0.756656823	0.770673638
HCA_F_BRA8739093	DSP1001660005640_E02	DSP1001660005640	1.00166E+12	42	geometric	Geometric Segment	Geometric Segment-aoi-001	186411.9555	623	6314773	6310569	6133233	3901258	1331798	65.86234492	HCA_F_BRA8739093	31.21557476	1.361555455	67.52423488	1.360940172	1.19383632	1.311799219
HCA_F_BRA8739281	DSP1001660005647_A02	DSP1001660005647	1.00166E+12	1	geometric	ROI1_exclusion sub2	ROI1_exclusion sub2-aoi-001	7443.363026	272	6316022	6180753	6001237	5523041	2263190	59.02275576	HCA_F_BRA8739281	118.9276571	1.433960648	292.8369979	5.185021495	2.38767264	1.031383071
HCA_F_BRA8739260	DSP1001660005641_D11	DSP1001660005641	1.00166E+12	36	exclusion_sub4	ROI36_exclusion sub4	ROI36_exclusion sub4-aoi-001	13912.71596	356	6304008	6301057	6121477	2877487	1095584	61.92566639	HCA_F_BRA8739260	16.67193082	1.506868241	46.4701526	0.726864733	0.790286015	0.928797164
HCA_F_BRA8739190	DSP1001660005641_F02	DSP1001660005641	1.00166E+12	40	exclusion_sub2	ROI40_exclusion sub2	ROI40_exclusion sub2-aoi-001	14383.93478	400	6487080	6483478	6297522	3088692	1220469	60.485895	HCA_F_BRA8739190	18.48735801	1.520927909	52.74076493	0.806013933	0.807100611	0.944848821
HCA_F_BRA8739191	DSP1001660005641_G02	DSP1001660005641	1.00166E+12	43	geometric	Geometric Segment	Geometric Segment-aoi-001	9038.245354	95	6532614	6528905	6342982	2800300	795070	71.60768489	HCA_F_BRA8739191	10.17905656	1.624206566	34.22241723	0.443787664	0.55488167	0.686113313
HCA_F_BRA8739106	DSP1001660005640_B04	DSP1001660005640	1.00166E+12	15	geometric	Geometric Segment	Geometric Segment-aoi-001	88080.19046	971	6619514	6611763	6426335	3553229	1217468	65.73629226	HCA_F_BRA8739106	18.7472513	1.400629201	43.52567772	0.817344791	1.076134148	1.17963282
HCA_F_BRA8739108	DSP1001660005640_D04	DSP1001660005640	1.00166E+12	34	geometric	Geometric Segment	Geometric Segment-aoi-001	128223.456	699	6731224	6727630	6540520	3876403	1361288	64.88270182	HCA_F_BRA8739108	26.72529387	1.371100901	58.82961824	1.165172396	1.19383632	1.346215495
HCA_F_BRA8739098	DSP1001660005640_B03	DSP1001660005640	1.00166E+12	14	geometric	Geometric Segment	Geometric Segment-aoi-001	57975.06977	725	6774881	6770342	6580858	3753690	1429695	61.91227832	HCA_F_BRA8739098	21.74019667	1.368023783	47.5880148	0.947831562	1.244280108	1.445945578
HCA_F_BRA8739339	DSP1001660005647_C09	DSP1001660005647	1.00166E+12	19	exclusion_sub4	ROI19_exclusion sub4	ROI19_exclusion sub4-aoi-001	26028.17018	546	6846536	4283447	3570879	2389971	967180	59.53172654	HCA_F_BRA8739339	17.89099479	1.583666054	56.4668431	0.780013622	0.840729803	0.942343175
HCA_F_BRA8739325	DSP1001660005647_E07	DSP1001660005647	1.00166E+12	25	ring	ROI25_Rings	ROI25_Rings-aoi-001	108332.6544	1516	6864510	6344257	5893905	4083963	1718986	57.9088743	HCA_F_BRA8739325	42.06297377	1.432086137	103.2340165	1.833866306	1.479684453	1.552705308
HCA_F_BRA8739156	DSP1001660005640_D10	DSP1001660005640	1.00166E+12	38	rest	Scan 00MR ROIs - ROI 038 rest	Scan 00MR ROIs - ROI 038 rest-aoi-001	161697.1993	1186	7055707	7050528	6846578	4041454	1457168	63.94446157	HCA_F_BRA8739156	25.34996552	1.373940351	56.09150189	1.105210675	1.261094704	1.574733884
HCA_F_BRA8739307	DSP1001660005647_C05	DSP1001660005647	1.00166E+12	18	exclusion_sub4	ROI18_exclusion sub4	ROI18_exclusion sub4-aoi-001	37834.84584	829	7106191	7074525	6860000	4844261	1919023	60.38563983	HCA_F_BRA8739307	41.48688556	1.445056759	104.1413246	1.808749946	1.698274202	1.958400359
HCA_F_BRA8739305	DSP1001660005647_A05	DSP1001660005647	1.00166E+12	1	geometric	ROI1_Rest	ROI1_Rest-aoi-001	72010.60256	948	7175160	7115661	6914297	4068060	1482338	63.56155022	HCA_F_BRA8739305	24.84843072	1.638912548	85.44534691	1.083344703	1.294723896	1.268450042
HCA_F_BRA8739221	DSP1001660005641_E06	DSP1001660005641	1.00166E+12	38	exclusion_sub2	ROI38_exclusion sub2	ROI38_exclusion sub2-aoi-001	12334.56703	393	7269835	7266329	7058776	3264927	1293560	60.38012488	HCA_F_BRA8739221	19.82972515	1.501692661	54.79858447	0.864538608	0.874358995	0.983324701
HCA_F_BRA8739302	DSP1001660005647_F04	DSP1001660005647	1.00166E+12	33	geometric	Geometric Segment	Geometric Segment-aoi-001	133110.5556	911	7371855	6984409	6748931	4281188	1775851	58.51966791	HCA_F_BRA8739302	37.02930303	1.700806483	139.6956215	1.614407757	1.546942837	1.263231651
HCA_F_BRA8739299	DSP1001660005647_C04	DSP1001660005647	1.00166E+12	18	exclusion_sub2	ROI18_exclusion sub2	ROI18_exclusion sub2-aoi-001	24493.7491	623	7362634	5355606	5104340	3275004	1251560	61.78447416	HCA_F_BRA8739299	22.48569793	1.519183243	63.9634346	0.980334011	1.059319552	1.284203135
HCA_F_BRA8739150	DSP1001660005640_F09	DSP1001660005640	1.00166E+12	59	geometric	Geometric Segment	Geometric Segment-aoi-001	207106.276	1868	7496874	7485829	7243811	4645611	1223185	73.6700942	HCA_F_BRA8739150	20.2020762	1.412782398	47.9274357	0.880772412	1.059319552	1.248655985
HCA_F_BRA8739198	DSP1001660005641_F03	DSP1001660005641	1.00166E+12	40	exclusion_sub4	ROI40_exclusion sub4	ROI40_exclusion sub4-aoi-001	18312.33691	415	7524502	7520864	7307517	3674422	1453563	60.44104352	HCA_F_BRA8739198	22.18464323	1.440614386	55.2613916	0.967208594	1.042504956	1.217133863
HCA_F_BRA8739136	DSP1001660005648_C07	DSP1001660005648	1.00166E+12	8	exclusion_sub4	ROI8_exclusion sub4	ROI8_exclusion sub4-aoi-001	29090.69786	433	7603844	7599653	7380129	3692049	1565033	57.61071968	HCA_F_BRA8739136	23.47362387	1.471784819	61.68661493	1.023405718	1.10976334	1.297915208
HCA_F_BRA8739300	DSP1001660005647_D04	DSP1001660005647	1.00166E+12	21	leftover	ROI21_Rest	ROI21_Rest-aoi-001	54877.18094	757	7645024	7339641	5650874	3441520	1231473	64.21717729	HCA_F_BRA8739300	18.45171796	1.541517513	54.4387275	0.804460094	1.059319552	1.213233485
HCA_F_BRA8739297	DSP1001660005647_A04	DSP1001660005647	1.00166E+12	1	geometric	ROI1_Rings	ROI1_Rings-aoi-001	31654.69656	704	7591875	7474280	7257557	4432434	1316991	70.28740868	HCA_F_BRA8739297	22.67576442	1.531079896	65.77435099	0.988620552	1.143392532	1.308647964
HCA_F_BRA8739126	DSP1001660005640_F06	DSP1001660005640	1.00166E+12	56	rest	Scan 00MR ROIs - ROI 056 rest 3	Scan 00MR ROIs - ROI 056 rest 3-aoi-001	81838.15917	1208	7620301	7615918	7401125	4896237	1560872	68.12098761	HCA_F_BRA8739126	26.84329741	1.384335094	60.52557657	1.170317128	1.378796877	1.519266814
HCA_F_BRA8739341	DSP1001660005647_E09	DSP1001660005647	1.00166E+12	26	geometric	Geometric Segment	Geometric Segment-aoi-001	43067.03231	551	7685107	6905449	6638548	3770574	1283832	65.95128487	HCA_F_BRA8739341	17.12718937	1.789560875	73.3757056	0.746713147	1.076134148	1.189867478
HCA_F_BRA8739094	DSP1001660005640_F02	DSP1001660005640	1.00166E+12	54	geometric	Geometric Segment	Geometric Segment-aoi-001	90593.3575	1052	7699447	7694142	7474223	5109348	1847332	63.8440756	HCA_F_BRA8739094	33.22336509	1.35304904	70.75016593	1.448476043	1.614201221	1.632075971
HCA_F_BRA8739172	DSP1001660005640_D12	DSP1001660005640	1.00166E+12	40	geometric	Geometric Segment	Geometric Segment-aoi-001	136387.7759	836	7758481	7753033	7532328	4326839	1627072	62.39582753	HCA_F_BRA8739172	28.83203824	1.353478695	61.44745573	1.257022476	1.395611473	1.686261678
HCA_F_BRA8739145	DSP1001660005640_A09	DSP1001660005640	1.00166E+12	8	geometric	Geometric Segment	Geometric Segment-aoi-001	76559.40334	769	7743317	7738287	7524641	4803627	1545087	67.83499218	HCA_F_BRA8739145	23.86414063	1.415993301	56.93755274	1.040431512	1.345167685	1.535536064
HCA_F_BRA8739346	DSP1001660005647_B10	DSP1001660005647	1.00166E+12	16	ring	ROI16_Rings	ROI16_Rings-aoi-001	72686.25299	1578	7765607	6822580	6566805	4004131	1591796	60.24615578	HCA_F_BRA8739346	30.80906856	1.684396221	113.446007	1.343217269	1.378796877	1.340500357
HCA_F_BRA8739287	DSP1001660005648_D02	DSP1001660005648	1.00166E+12	10	exclusion_sub2	ROI10_exclusion sub2	ROI10_exclusion sub2-aoi-001	7724.199971	202	7950025	2797497	2114181	480086	227310	52.65223314	HCA_F_BRA8739287	3.475028233	1.817428773	15.47397305	0.151504675	0.163942312	0.168692979
HCA_F_BRA8739143	DSP1001660005648_B08	DSP1001660005648	1.00166E+12	5	ring	ROI5_ring	ROI5_ring-aoi-001	70624.88771	1281	7924629	7919339	7695114	3756569	1681747	55.23183522	HCA_F_BRA8739143	28.66015423	1.430697386	70.16943547	1.249528658	1.143392532	1.189539036
HCA_F_BRA8739285	DSP1001660005647_E02	DSP1001660005647	1.00166E+12	24	exclusion_sub4	ROI24_exclusion sub4	ROI24_exclusion sub4-aoi-001	38474.34582	941	8050292	5774197	5456613	3364993	1425801	57.62841111	HCA_F_BRA8739285	23.77860551	1.547275919	70.81182678	1.036702343	1.244280108	1.403703441
HCA_F_BRA8739347	DSP1001660005647_C10	DSP1001660005647	1.00166E+12	19	ring	ROI19_Rings	ROI19_Rings-aoi-001	101626.666	1452	8395240	8327198	8086627	5457172	2093120	61.64460274	HCA_F_BRA8739347	50.94001002	1.420166312	122.4354107	2.22088834	1.83279097	1.923027349
HCA_F_BRA8739356	DSP1001660005647_D11	DSP1001660005647	1.00166E+12	23	ring	ROI23_Rings	ROI23_Rings-aoi-001	105824.3811	1894	8452926	7766382	7457722	4691412	2001525	57.33640533	HCA_F_BRA8739356	39.74169253	1.55343172	119.5299619	1.732662823	1.731903394	1.721744757
HCA_F_BRA8739261	DSP1001660005641_E11	DSP1001660005641	1.00166E+12	39	exclusion_sub4	ROI39_exclude sub4	ROI39_exclude sub4-aoi-001	24374.87882	482	8440200	8435620	8193649	4208024	1707550	59.42157174	HCA_F_BRA8739261	26.41047515	1.398038903	61.03435457	1.151446894	1.227465512	1.364945483
HCA_F_BRA8739270	DSP1001660005641_F12	DSP1001660005641	1.00166E+12	42	ring	ROI42_Rings	ROI42_Rings-aoi-001	45603.08938	716	8437300	8433231	8189950	3642741	1405007	61.42995069	HCA_F_BRA8739270	23.2377709	1.493783857	63.37440141	1.013122974	0.975246571	0.950628462
HCA_F_BRA8739082	DSP1001660005640_B01	DSP1001660005640	1.00166E+12	12	geometric	Geometric Segment	Geometric Segment-aoi-001	38360.685	448	8582710	8577679	8331554	5218409	1651008	68.36185128	HCA_F_BRA8739082	19.90724283	1.389232141	45.28435336	0.867918233	1.446055261	1.964571947
HCA_F_BRA8739153	DSP1001660005640_A10	DSP1001660005640	1.00166E+12	9	geometric	Geometric Segment	Geometric Segment-aoi-001	83863.37399	839	8948297	8942397	8689007	5435097	1729542	68.17826802	HCA_F_BRA8739153	26.88468305	1.389033538	61.13455433	1.172121464	1.496499049	1.687427809
HCA_F_BRA8739159	DSP1001660005648_B10	DSP1001660005648	1.00166E+12	6	exclusion_sub2	ROI6_exclusion sub2	ROI6_exclusion sub2-aoi-001	17286.39014	448	9034169	9029213	8770480	4007174	1683339	57.99186659	HCA_F_BRA8739159	24.85563445	1.492306957	67.61923646	1.083658773	1.10976334	1.300406535
HCA_F_BRA8739228	DSP1001660005641_D07	DSP1001660005641	1.00166E+12	35	exclusion_sub4	ROI35_exclude sub4	ROI35_exclude sub4-aoi-001	23940.75763	555	9024862	9020330	8762125	4094515	1631930	60.14350906	HCA_F_BRA8739228	25.24788758	1.419024681	60.56195986	1.100760269	1.177021724	1.262488376
HCA_F_BRA8739085	DSP1001660005640_E01	DSP1001660005640	1.00166E+12	41	geometric	Geometric Segment	Geometric Segment-aoi-001	183145.4698	859	9024316	9018362	8762450	5259231	1602240	69.53470954	HCA_F_BRA8739085	31.55823907	1.385624287	71.32248711	1.37587969	1.391407824	1.623537749
HCA_F_BRA8739256	DSP1001660005641_H10	DSP1001660005641	1.00166E+12	17	exclusion_sub2	ROI17_exclusion sub2	ROI17_exclusion sub2-aoi-001	14935.0319	468	9057694	9052693	8787080	4131272	1560665	62.22313612	HCA_F_BRA8739256	23.94078864	1.449388671	60.54811239	1.043773221	1.042504956	1.165359244
HCA_F_BRA8739099	DSP1001660005640_C03	DSP1001660005640	1.00166E+12	24	geometric	Geometric Segment	Geometric Segment-aoi-001	282602.477	1777	9143708	9138259	8882995	5074762	2588915	48.9845041	HCA_F_BRA8739099	48.17939471	1.321078325	96.64574924	2.10053072	2.286785064	2.5634023
HCA_F_BRA8739283	DSP1001660005647_C02	DSP1001660005647	1.00166E+12	17	ring	ROI17_Rings	ROI17_Rings-aoi-001	117425.2044	1923	9283648	9070429	8810681	5713115	2402490	57.94780956	HCA_F_BRA8739283	53.12905176	1.516316702	150.4204424	2.31632643	2.085009911	2.0767704
HCA_F_BRA8739334	DSP1001660005647_F08	DSP1001660005647	1.00166E+12	37	geometric	Geometric Segment	Geometric Segment-aoi-001	134228.0625	1292	9174571	7900809	7526685	4360452	1584392	63.66450084	HCA_F_BRA8739334	28.19199208	1.533112321	82.04662089	1.229117671	1.395611473	1.325635823
HCA_F_BRA8739349	DSP1001660005647_E10	DSP1001660005647	1.00166E+12	27	geometric	Geometric Segment	Geometric Segment-aoi-001	23925.60285	360	9328022	5508817	2365736	1203509	444280	63.08461341	HCA_F_BRA8739349	5.137050853	1.914532896	26.05379233	0.223965726	0.386735709	0.425190843
HCA_F_BRA8739284	DSP1001660005647_D02	DSP1001660005647	1.00166E+12	21	exclusion_sub4	ROI21_exclusion sub4	ROI21_exclusion sub4-aoi-001	5683.041058	210	9333436	2677928	1900221	641701	254956	60.26872328	HCA_F_BRA8739284	3.231060926	1.927319253	16.66208313	0.140868161	0.218589749	0.274801726
HCA_F_BRA8739102	DSP1001660005640_F03	DSP1001660005640	1.00166E+12	55	geometric	Geometric Segment	Geometric Segment-aoi-001	114565.214	1042	9388586	9382546	9119345	6090117	2145186	64.77594765	HCA_F_BRA8739102	36.65401726	1.358083392	78.78393623	1.598046006	1.866420162	2.198936228
HCA_F_BRA8739323	DSP1001660005647_C07	DSP1001660005647	1.00166E+12	18	leftover	ROI18_Rest	ROI18_Rest-aoi-001	90374.56042	1204	9568764	9000732	8699758	5681533	1742475	69.33090066	HCA_F_BRA8739323	39.07485716	1.488170827	105.5672883	1.703590058	1.513313645	1.557151194
HCA_F_BRA8739311	DSP1001660005648_D05	DSP1001660005648	1.00166E+12	10	leftover	ROI10_leftover	ROI10_leftover-aoi-001	297073.2361	1981	9656064	7374990	6790523	2825734	1320343	53.27433509	HCA_F_BRA8739311	22.30665811	1.492867287	60.74178003	0.972528213	0.891173591	0.674934768
HCA_F_BRA8739142	DSP1001660005640_F08	DSP1001660005640	1.00166E+12	58	geometric	Geometric Segment	Geometric Segment-aoi-001	100556.9914	901	9936384	9930619	9656355	6265710	1961116	68.70081762	HCA_F_BRA8739142	32.30147691	1.386087202	73.0632126	1.408283457	1.698274202	1.982359502
HCA_F_BRA8739293	DSP1001660005647_E03	DSP1001660005647	1.00166E+12	24	ring	ROI24_Rings	ROI24_Rings-aoi-001	136279.3246	2318	10236915	10151803	9860772	5947989	2596379	56.34862472	HCA_F_BRA8739293	44.26607042	1.554292615	133.3223405	1.929917163	2.236341276	2.299152168
HCA_F_BRA8739100	DSP1001660005640_D03	DSP1001660005640	1.00166E+12	33	geometric	Geometric Segment	Geometric Segment-aoi-001	170292.3253	1087	10189903	10183945	9894708	5604056	1906598	65.97824861	HCA_F_BRA8739100	32.84997317	1.365364549	71.55773324	1.432196859	1.647830414	2.03734234
HCA_F_BRA8739351	DSP1001660005648_D10	DSP1001660005648	1.00166E+12	15	geometric	Geometric Segment	Geometric Segment-aoi-001	263556.5542	51	10371091	5947543	5220943	2180613	1016886	53.36696608	HCA_F_BRA8739351	19.78855088	1.64187173	68.35370418	0.862743488	0.773471419	0.492581655
HCA_F_BRA8739123	DSP1001660005640_C06	DSP1001660005640	1.00166E+12	26	rest	Scan 00MR ROIs - ROI 026 rest	Scan 00MR ROIs - ROI 026 rest-aoi-001	113748.7504	1507	10922589	10915122	10607535	5932818	2081059	64.92292533	HCA_F_BRA8739123	33.06968983	1.364486834	71.92063198	1.441776091	1.815976374	2.036362365
HCA_F_BRA8739162	DSP1001660005640_B11	DSP1001660005640	1.00166E+12	20	geometric	Geometric Segment	Geometric Segment-aoi-001	85090.27941	1002	11061019	11054306	10735438	5864933	2127133	63.73133333	HCA_F_BRA8739162	31.81637119	1.394033157	73.00177222	1.387133763	1.849605566	2.196228244
HCA_F_BRA8739355	DSP1001660005647_C11	DSP1001660005647	1.00166E+12	19	leftover	ROI19_Rest	ROI19_Rest-aoi-001	269889.6721	1727	11083151	11037149	10591018	7506256	2734445	63.57111988	HCA_F_BRA8739355	78.7398804	1.582369027	248.0071403	3.432910245	2.522189409	1.861788402
HCA_F_BRA8739329	DSP1001660005647_A08	DSP1001660005647	1.00166E+12	4	geometric	Geometric Segment	Geometric Segment-aoi-001	48169.77173	743	11054733	11034824	10725092	6515925	1870348	71.29574082	HCA_F_BRA8739329	29.89884926	1.551492384	89.64552056	1.303533425	1.597386625	1.8769869
HCA_F_BRA8739125	DSP1001660005640_E06	DSP1001660005640	1.00166E+12	44	rest	Scan 00MR ROIs - ROI 044 rest	Scan 00MR ROIs - ROI 044 rest-aoi-001	231060.6097	1383	11182201	11177238	10867679	6239960	2297839	63.175421	HCA_F_BRA8739125	42.73383969	1.326422191	86.59171962	1.863114794	2.000936931	2.394390205
HCA_F_BRA8739238	DSP1001660005641_F08	DSP1001660005641	1.00166E+12	41	ring	ROI41_ring	ROI41_ring-aoi-001	65060.24334	948	11618363	11613542	11284283	5340424	2213701	58.5482164	HCA_F_BRA8739238	38.1737796	1.434485211	94.08174186	1.664304777	1.546942837	1.531477746
HCA_F_BRA8739358	DSP1001660005648_A08	DSP1001660005648	1.00166E+12	2	ring	ROI2_ring	ROI2_ring-aoi-001	39294.28236	931	11661878	5252770	4574659	1528149	828705	45.77066765	HCA_F_BRA8739358	11.15478949	1.737817688	44.40909384	0.486327778	0.538067074	0.471376889
HCA_F_BRA8739083	DSP1001660005640_C01	DSP1001660005640	1.00166E+12	22	geometric	Geometric Segment	Geometric Segment-aoi-001	116076.5872	947	11741017	11734057	11405826	6468839	2055711	68.22132998	HCA_F_BRA8739083	33.26562313	1.35437243	71.01350103	1.450318414	1.799161778	2.188386938
HCA_F_BRA8739158	DSP1001660005640_F10	DSP1001660005640	1.00166E+12	60	geometric	Geometric Segment	Geometric Segment-aoi-001	108702.21	1039	11769877	11762758	11430730	6716279	2168800	67.70830991	HCA_F_BRA8739158	33.70227651	1.387323584	76.40181228	1.469355678	1.900049354	2.247754035
HCA_F_BRA8739357	DSP1001660005647_E11	DSP1001660005647	1.00166E+12	28	geometric	Geometric Segment	Geometric Segment-aoi-001	112450.9649	836	11862671	7499135	7099571	4575883	1707421	62.68652411	HCA_F_BRA8739357	36.01302943	1.546832649	107.1687047	1.570100145	1.479684453	1.343251805
HCA_F_BRA8739113	DSP1001660005640_A05	DSP1001660005640	1.00166E+12	4	geometric	Geometric Segment	Geometric Segment-aoi-001	181882.414	980	11871573	11863423	11530619	6999335	2433834	65.22763948	HCA_F_BRA8739113	34.86830745	1.371239478	76.77399446	1.520192427	2.185897487	2.683756553
HCA_F_BRA8739216	DSP1001660005641_H05	DSP1001660005641	1.00166E+12	12	geometric	Geometric Segment	Geometric Segment-aoi-001	226389.4657	457	11976280	11969207	11626789	6177032	2138731	65.37607382	HCA_F_BRA8739216	46.48582492	1.394339137	106.7189604	2.026694272	1.580572029	1.349583752
HCA_F_BRA8739176	DSP1001660005648_C12	DSP1001660005648	1.00166E+12	9	ring	ROI9_ring	ROI9_ring-aoi-001	67731.4305	1213	12010429	12004338	11663279	5426600	2380328	56.13592305	HCA_F_BRA8739176	38.2458319	1.442187004	95.52962126	1.667446121	1.597386625	1.667118405
HCA_F_BRA8739268	DSP1001660005641_D12	DSP1001660005641	1.00166E+12	36	ring	ROI36_Rings	ROI36_Rings-aoi-001	53765.51496	968	12201661	12195954	11848879	5240496	2269140	56.69990016	HCA_F_BRA8739268	35.67133628	1.423463102	86.23526736	1.555202969	1.563757433	1.586177486
HCA_F_BRA8739111	DSP1001660005648_B04	DSP1001660005648	1.00166E+12	4	ring	ROI4_ring	ROI4_ring-aoi-001	73859.95883	1461	12260617	12252585	11901474	5707463	2706123	52.58623665	HCA_F_BRA8739111	44.61557851	1.416653116	106.5725438	1.945155057	1.815976374	1.976911037
HCA_F_BRA8739170	DSP1001660005640_B12	DSP1001660005640	1.00166E+12	21	geometric	Geometric Segment	Geometric Segment-aoi-001	94774.97069	1110	12286329	12278255	11928920	6422495	2350745	63.39825878	HCA_F_BRA8739170	35.14415683	1.376849841	78.17530341	1.532218939	2.051380719	2.42368586
HCA_F_BRA8739164	DSP1001660005640_D11	DSP1001660005640	1.00166E+12	39	geometric	Geometric Segment	Geometric Segment-aoi-001	174789.5051	1079	12277705	12269856	11915688	6767337	2054735	69.63746596	HCA_F_BRA8739164	35.28416729	1.372564474	77.87745617	1.538323131	1.765532586	2.203251887
HCA_F_BRA8739130	DSP1001660005640_B07	DSP1001660005640	1.00166E+12	16	rest	Scan 00MR ROIs - ROI 016 rest	Scan 00MR ROIs - ROI 016 rest-aoi-001	136756.0686	1461	12287897	12280781	11938812	6838930	2272393	66.77268228	HCA_F_BRA8739130	35.42171475	1.420232412	85.14676068	1.544319941	2.034566123	2.402919693
HCA_F_BRA8739086	DSP1001660005640_F01	DSP1001660005640	1.00166E+12	53	geometric	Geometric Segment	Geometric Segment-aoi-001	153183.3723	1243	12370363	12360775	11997614	8100310	2450238	69.75130581	HCA_F_BRA8739086	44.02095103	1.345690269	92.47454439	1.91923042	2.135453699	2.353591876
HCA_F_BRA8739310	DSP1001660005647_F05	DSP1001660005647	1.00166E+12	34	geometric	Geometric Segment	Geometric Segment-aoi-001	132119.4964	1092	12448545	10978302	9368170	5710870	2196750	61.53388188	HCA_F_BRA8739310	37.61859373	1.504043892	104.3647489	1.64009972	1.866420162	1.993216792
HCA_F_BRA8739116	DSP1001660005640_D05	DSP1001660005640	1.00166E+12	35	geometric	Geometric Segment	Geometric Segment-aoi-001	137635.8349	1453	12558414	12553436	12207659	7222794	2701224	62.60139774	HCA_F_BRA8739116	43.50824596	1.350975876	92.29763224	1.896877447	2.354043448	2.751376678
HCA_F_BRA8739333	DSP1001660005647_E08	DSP1001660005647	1.00166E+12	25	leftover	ROI25_Rest	ROI25_Rest-aoi-001	230391.7474	1698	12532416	12230893	11863285	8491962	3169502	62.67644627	HCA_F_BRA8739333	89.41641226	1.419979254	214.8435099	3.898386893	2.774408349	2.523240893
HCA_F_BRA8739092	DSP1001660005640_D02	DSP1001660005640	1.00166E+12	32	geometric	Geometric Segment	Geometric Segment-aoi-001	148342.2107	986	12633389	12625602	12262977	6986249	2252719	67.75495692	HCA_F_BRA8739092	37.15560082	1.37184517	81.90059086	1.619914103	1.950493143	2.452725583
HCA_F_BRA8739332	DSP1001660005647_D08	DSP1001660005647	1.00166E+12	22	leftover	ROI22_Rest	ROI22_Rest-aoi-001	115217.6587	1374	12689666	12423322	11314851	7150355	2588865	63.79389555	HCA_F_BRA8739332	55.181153	1.425813608	133.951524	2.405794173	2.185897487	2.350898784
HCA_F_BRA8739353	DSP1001660005647_A11	DSP1001660005647	1.00166E+12	7	geometric	Geometric Segment	Geometric Segment-aoi-001	179063.152	1400	12841588	12730654	12331478	8066081	2901672	64.02624769	HCA_F_BRA8739353	65.24848709	1.526311536	187.7925733	2.844710948	2.522189409	2.432020723
