"","x"
"3951","DDX10"
"3952","DDX17"
"3953","DDX18"
"3954","DDX19A"
"3955","DDX19B"
"3956","DDX20"
"3957","DDX21"
"3958","DDX23"
"3959","DDX24"
"3960","DDX25"
"3961","DDX27"
"3962","DDX28"
"3963","DDX31"
"3964","DDX39A"
"3965","DDX39B,ATP6V1G2-DDX39B"
"3966","DDX3X"
"3967","DDX3Y"
"3968","DDX41"
"3969","DDX42"
"3970","DDX43"
"3971","DDX46"
"3972","DDX47"
"3973","DDX49"
"3974","DDX5"
"3975","DDX50"
"3976","DDX51"
"3977","DDX52"
"3978","DDX53"
"3979","DDX54"
"3980","DDX55"
"3981","DDX56"
"3982","DDX58"
"3983","DDX59"
"3984","DDX6"
"3985","DDX60"
"3986","DDX60L"
"3987","DEAF1"
"3988","DECR1"
"3989","DECR2"
"3990","DEDD"
"3991","DEDD2"
"3992","DEF6"
"3993","DEF8"
"3994","DEFA3,DEFA1B,DEFA1"
"3995","DEFA4"
"3996","DEFA5"
"3997","DEFA6"
"3998","DEFB1"
"3999","DEFB103A,DEFB103B"
"4000","DEFB104A,DEFB104B"
"4001","DEFB105B,DEFB105A"
"4002","DEFB106A,DEFB106B"
"4003","DEFB107A,DEFB107B"
"4004","DEFB108B,LOC112268386"
"4005","DEFB110"
"4006","DEFB112"
"4007","DEFB113"
"4008","DEFB114"
"4009","DEFB115"
"4010","DEFB116"
"4011","DEFB118"
"4012","DEFB119"
"4013","DEFB121"
"4014","DEFB123"
"4015","DEFB124"
"4016","DEFB125"
"4017","DEFB126"
"4018","DEFB127"
"4019","DEFB128"
"4020","DEFB129"
"4021","DEFB130B,DEFB130A"
"4022","DEFB131B,DEFB131A,LOC105379245"
"4023","DEFB132"
"4024","DEFB133"
"4025","DEFB134"
"4026","DEFB135"
"4027","DEFB136"
"4028","DEFB4B,DEFB4A"
"4029","DEGS1"
"4030","DEGS2"
"4031","DEK"
"4032","del,IKZF1"
"4033","DELE1"
"4034","DENND10,FAM45A,DENND10P1"
"4035","DENND1A"
"4036","DENND1B"
"4037","DENND1C"
"4038","DENND2A"
"4039","DENND2B,ST5"
"4040","DENND2C"
"4041","DENND2D"
"4042","DENND3"
"4043","DENND4A"
"4044","DENND4B"
"4045","DENND4C"
"4046","DENND5A"
"4047","DENND5B"
"4048","DENND6A"
"4049","DENND6B"
"4050","DENR"
"4051","DEPDC1"
"4052","DEPDC1B"
"4053","DEPDC4"
"4054","DEPDC5"
"4055","DEPDC7"
"4056","DEPP1"
"4057","DEPTOR"
"4058","DERA"
"4059","DERL1"
"4060","DERL2"
"4061","DERL3"
"4062","DES"
"4063","DESI1"
"4064","DESI2"
"4065","DET1"
"4066","DEUP1"
"4067","DFFA"
"4068","DFFB"
"4069","DGAT1"
"4070","DGAT2"
"4071","DGAT2L6"
"4072","DGCR2"
"4073","DGCR6L,LOC102724770,DGCR6"
"4074","DGCR8"
"4075","DGKA"
"4076","DGKB"
"4077","DGKD"
"4078","DGKE"
"4079","DGKG"
"4080","DGKH"
"4081","DGKI"
"4082","DGKK"
"4083","DGKQ"
"4084","DGKZ"
"4085","DGLUCY"
"4086","DGUOK"
"4087","DHCR24"
"4088","DHCR7"
"4089","DHDDS"
"4090","DHDH"
"4091","DHFR"
"4092","DHFR2"
"4093","DHH"
"4094","DHODH"
"4095","DHPS"
"4096","DHRS1"
"4097","DHRS11"
"4098","DHRS12"
"4099","DHRS13"
"4100","DHRS2"
"4101","DHRS3"
"4102","DHRS4,DHRS4L1,DHRS4L2"
"4103","DHRS7"
"4104","DHRS7B"
"4105","DHRS7C"
"4106","DHRS9"
"4107","DHRSX"
"4108","DHTKD1"
"4109","DHX15"
"4110","DHX16"
"4111","DHX29"
"4112","DHX30"
"4113","DHX32"
"4114","DHX33"
"4115","DHX34"
"4116","DHX35"
"4117","DHX36"
"4118","DHX37"
"4119","DHX38"
"4120","DHX40"
"4121","DHX57"
"4122","DHX58"
"4123","DHX8"
"4124","DHX9"
"4125","DIAPH1"
"4126","DIAPH2"
"4127","DIAPH3"
"4128","DICER1"
"4129","DIDO1"
"4130","DIMT1"
"4131","DIO1"
"4132","DIO2"
"4133","DIO3"
"4134","DIP2A"
"4135","DIP2B"
"4136","DIP2C"
"4137","DIPK1A"
"4138","DIPK1B"
"4139","DIPK1C"
"4140","DIPK2A"
"4141","DIPK2B"
"4142","DIRAS1"
"4143","DIRAS2"
"4144","DIRAS3"
"4145","DIRC1"
"4146","DIS3"
"4147","DIS3L"
"4148","DIS3L2"
"4149","DISP1"
"4150","DISP2"
"4151","DISP3"
"4152","DIXDC1"
"4153","DKC1"
"4154","DKK1"
"4155","DKK2"
"4156","DKK3"
"4157","DKK4"
"4158","DKKL1"
"4159","DLAT"
"4160","DLC1"
"4161","DLD"
"4162","DLEC1"
"4163","DLEU7"
"4164","DLG1"
"4165","DLG2"
"4166","DLG3"
"4167","DLG4"
"4168","DLG5"
"4169","DLGAP1"
"4170","DLGAP2"
"4171","DLGAP3"
"4172","DLGAP4"
"4173","DLGAP5"
"4174","DLK1"
"4175","DLK2"
"4176","DLL1"
"4177","DLL3"
"4178","DLL4"
"4179","DLST"
"4180","DLX1"
"4181","DLX2"
"4182","DLX3"
"4183","DLX4"
"4184","DLX5"
"4185","DLX6"
"4186","DMAC1"
"4187","DMAC2"
"4188","DMAC2L"
"4189","DMAP1"
"4190","DMBT1"
"4191","DMBX1"
"4192","DMC1"
"4193","DMD"
"4194","DMGDH"
"4195","DMKN"
"4196","DMP1"
"4197","DMPK"
"4198","DMRT1"
"4199","DMRT2"
"4200","DMRT3"
"4201","DMRTA1"
"4202","DMRTA2"
"4203","DMRTB1"
"4204","DMRTC1,DMRTC1B"
"4205","DMRTC2"
"4206","DMTF1"
"4207","DMTN"
"4208","DMWD"
"4209","DMXL1"
"4210","DMXL2"
"4211","DNA2"
"4212","DNAAF1,TAF1C"
"4213","DNAAF2"
"4214","DNAAF3"
"4215","DNAAF4"
"4216","DNAAF5"
"4217","DNAH1"
"4218","DNAH10"
"4219","DNAH11"
"4220","DNAH12"
"4221","DNAH14"
"4222","DNAH17"
"4223","DNAH2"
"4224","DNAH3"
"4225","DNAH5"
"4226","DNAH6"
"4227","DNAH7"
"4228","DNAH8"
"4229","DNAH9"
"4230","DNAI1"
"4231","DNAI2"
"4232","DNAJA1"
"4233","DNAJA2"
"4234","DNAJA3"
"4235","DNAJA4"
"4236","DNAJB1"
"4237","DNAJB11"
"4238","DNAJB12"
"4239","DNAJB13"
"4240","DNAJB14"
"4241","DNAJB2"
"4242","DNAJB4"
"4243","DNAJB5"
"4244","DNAJB6"
"4245","DNAJB7"
"4246","DNAJB8"
"4247","DNAJB9"
"4248","DNAJC1"
"4249","DNAJC10"
"4250","DNAJC11"
"4251","DNAJC12"
"4252","DNAJC13"
"4253","DNAJC14"
"4254","DNAJC15"
"4255","DNAJC16"
"4256","DNAJC17,GCHFR"
"4257","DNAJC18"
"4258","DNAJC19"
"4259","DNAJC2"
"4260","DNAJC21"
"4261","DNAJC22"
"4262","DNAJC24"
"4263","DNAJC25"
"4264","DNAJC25-GNG10,GNG10"
"4265","DNAJC27"
"4266","DNAJC28"
"4267","DNAJC3"
"4268","DNAJC30"
"4269","DNAJC4"
"4270","DNAJC5"
"4271","DNAJC5B"
"4272","DNAJC5G"
"4273","DNAJC6"
"4274","DNAJC7"
"4275","DNAJC8"
"4276","DNAJC9"
"4277","DNAL1"
"4278","DNAL4"
"4279","DNALI1"
"4280","DNASE1"
"4281","DNASE1L1"
"4282","DNASE1L2"
"4283","DNASE1L3"
"4284","DNASE2"
"4285","DNASE2B"
"4286","DNER"
"4287","DNHD1"
"4288","DNLZ"
"4289","DNM1"
"4290","DNM1L"
"4291","DNM2"
"4292","DNM3"
"4293","DNMBP"
"4294","DNMT1"
"4295","DNMT3A"
"4296","DNMT3B"
"4297","DNMT3L"
"4298","DNPEP"
"4299","DNPH1"
"4300","DNTT"
"4301","DNTTIP1"
"4302","DNTTIP2"
"4303","DOC2A"
"4304","DOC2B"
"4305","DOCK1"
"4306","DOCK10"
"4307","DOCK11"
"4308","DOCK2"
"4309","DOCK3"
"4310","DOCK4"
"4311","DOCK5"
"4312","DOCK6"
"4313","DOCK7"
"4314","DOCK9"
"4315","DOHH"
"4316","DOK1"
"4317","DOK2"
"4318","DOK3"
"4319","DOK4"
"4320","DOK5"
"4321","DOK6"
"4322","DOK7"
"4323","DOLK"
"4324","DOLPP1"
"4325","DONSON"
"4326","DOP1A"
"4327","DOP1B"
"4328","DOT1L"
"4329","DPAGT1"
"4330","DPCD"
"4331","DPEP1"
"4332","DPEP2"
"4333","DPEP2NB"
"4334","DPEP3"
"4335","DPF1"
"4336","DPF2"
"4337","DPF3"
"4338","DPH1"
"4339","DPH2"
"4340","DPH3"
"4341","DPH5"
"4342","DPH6"
"4343","DPH7"
"4344","DPM1"
"4345","DPM2"
"4346","DPM3"
"4347","DPP10"
"4348","DPP3"
"4349","DPP4"
"4350","DPP6"
"4351","DPP7"
"4352","DPP8"
"4353","DPP9"
"4354","DPPA2"
"4355","DPPA3"
"4356","DPPA4"
"4357","DPPA5"
"4358","DPT"
"4359","DPY19L1"
"4360","DPY19L2P2,DPY19L2,DPY19L2P1"
"4361","DPY19L3"
"4362","DPY19L4"
"4363","DPY30"
"4364","DPYD"
"4365","DPYS"
"4366","DPYSL2"
"4367","DPYSL3"
"4368","DPYSL4"
"4369","DPYSL5"
"4370","DQX1"
"4371","DR1"
"4372","DRAM1"
"4373","DRAM2"
"4374","DRAP1"
"4375","DRAXIN"
"4376","DRC1"
"4377","DRC3"
"4378","DRC7"
"4379","DRD1"
"4380","DRD2"
"4381","DRD3"
"4382","DRD4"
"4383","DRG1"
"4384","DRG2"
"4385","DRGX"
"4386","DRICH1"
"4387","DROSHA"
"4388","DRP2"
"4389","DSC1"
"4390","DSC2"
"4391","DSC3"
"4392","DSCAM"
"4393","DSCAML1"
"4394","DSCC1"
"4395","DSE"
"4396","DSEL"
"4397","DSG1"
"4398","DSG2"
"4399","DSG3"
"4400","DSG4"
"4401","DSN1"
"4402","DSP"
"4403","DSPP"
"4404","DST"
"4405","DSTN"
"4406","DSTYK"
"4407","DTD1"
"4408","DTD2"
"4409","DTHD1"
"4410","DTL"
"4411","DTNA"
"4412","DTNB"
"4413","DTNBP1"
"4414","DTWD1"
"4415","DTWD2"
"4416","DTX1,RASAL1"
"4417","DTX2"
"4418","DTX3"
"4419","DTX3L"
"4420","DTX4"
"4421","DTYMK"
"4422","DUOX1"
"4423","DUOX2"
"4424","DUOXA1"
"4425","DUOXA2"
"4426","DUPD1"
"4427","DUS1L"
"4428","DUS2"
"4429","DUS3L"
"4430","DUS4L"
"4431","DUS4L-BCAP29,BCAP29"
"4432","DUSP1"
"4433","DUSP10"
"4434","DUSP11"
"4435","DUSP12"
"4436","DUSP13"
"4437","DUSP14"
"4438","DUSP15"
"4439","DUSP16"
"4440","DUSP18"
"4441","DUSP19"
"4442","DUSP2"
"4443","DUSP21"
"4444","DUSP22"
"4445","DUSP23"
"4446","DUSP26"
"4447","DUSP27"
"4448","DUSP28"
"4449","DUSP3"
"4450","DUSP4"
"4451","DUSP5"
"4452","DUSP6"
"4453","DUSP7"
"4454","DUSP8"
"4455","DUSP9"
"4456","DUT"
"4457","DUX1"
"4458","DUX4"
"4459","DUXA"
"4460","DUXB"
"4461","DVL1"
"4462","DVL2"
"4463","DVL3"
"4464","DXO"
"4465","DYDC1"
"4466","DYDC2"
"4467","DYM"
"4468","DYNAP"
"4469","DYNC1H1"
"4470","DYNC1I1"
"4471","DYNC1I2"
"4472","DYNC1LI1"
"4473","DYNC1LI2"
"4474","DYNC2H1"
"4475","DYNC2LI1"
"4476","DYNLL1"
"4477","DYNLL2"
"4478","DYNLRB1"
"4479","DYNLRB2"
"4480","DYNLT1"
"4481","DYNLT3"
"4482","DYRK1A"
"4483","DYRK1B"
"4484","DYRK2"
"4485","DYRK3"
"4486","DYRK4"
"4487","DYSF"
"4488","DYTN"
"4489","DZANK1"
"4490","DZIP1"
"4491","DZIP1L"
"4492","DZIP3"
"4493","E2F1"
"4494","E2F2"
"4495","E2F3"
"4496","E2F4"
"4497","E2F5"
"4498","E2F7"
"4499","E2F8"
"4500","E4F1"
"4501","EAF1"
"4502","EAF2"
"4503","EAPP"
"4504","EARS2"
"4505","EBAG9"
"4506","EBF1"
"4507","EBF2"
"4508","EBF3"
"4509","EBF4"
"4510","EBI3"
"4511","EBLN1"
"4512","EBLN2"
"4513","EBNA1BP2"
"4514","EBP"
"4515","EBPL"
"4516","ECD"
"4517","ECE1"
"4518","ECEL1"
"4519","ECH1"
"4520","ECHDC1"
"4521","ECHDC2"
"4522","ECHDC3"
"4523","ECHS1"
"4524","ECI1"
"4525","ECI2"
"4526","ECM1"
"4527","ECM2"
"4528","ECPAS"
"4529","ECRG4"
"4530","ECSCR"
"4531","ECSIT"
"4532","ECT2"
"4533","ECT2L"
"4534","EDA"
"4535","EDA2R"
"4536","EDAR"
"4537","EDARADD"
"4538","EDC3"
"4539","EDC4"
"4540","EDDM13"
"4541","EDDM3A"
"4542","EDDM3B"
"4543","EDEM1"
"4544","EDEM3"
"4545","EDF1"
"4546","EDIL3"
"4547","EDN1"
"4548","EDN2"
"4549","EDN3"
"4550","EDNRA"
"4551","EDNRB"
"4552","EDRF1"
"4553","EEA1,PLEKHG7"
"4554","EED"
"4555","EEF1A2"
"4556","EEF1AKMT1"
"4557","EEF1AKMT2"
"4558","EEF1AKMT3"
"4559","EEF1AKMT4"
"4560","EEF1AKMT4-ECE2,ECE2"
"4561","EEF1AKNMT"
"4562","EEF1B2"
"4563","EEF1E1-BLOC1S5,EEF1E1"
"4564","EEF1G"
"4565","EEF2K"
"4566","EEF2KMT,ALG1"
"4567","EEFSEC"
"4568","EEPD1"
"4569","EFCAB1"
"4570","EFCAB10"
"4571","EFCAB11"
"4572","EFCAB12"
"4573","EFCAB13"
"4574","EFCAB14"
"4575","EFCAB2"
"4576","EFCAB3"
"4577","EFCAB5"
"4578","EFCAB6"
"4579","EFCAB7"
"4580","EFCAB8"
"4581","EFCAB9"
"4582","EFCC1"
"4583","EFEMP1"
"4584","EFEMP2"
"4585","EFHB"
"4586","EFHC1"
"4587","EFHC2"
"4588","EFHD1"
"4589","EFHD2"
"4590","EFL1"
"4591","EFNA1"
"4592","EFNA2"
"4593","EFNA3"
"4594","EFNA4"
"4595","EFNA5"
"4596","EFNB1"
"4597","EFNB2"
"4598","EFNB3"
"4599","EFR3A"
"4600","EFR3B"
"4601","EFS"
"4602","EFTUD2"
"4603","EGF"
"4604","EGFL6"
"4605","EGFL7"
"4606","EGFL8"
"4607","EGFLAM"
"4608","EGFR"
"4609","EGLN1"
"4610","EGLN2,RAB4B-EGLN2"
"4611","EGLN3"
"4612","EGR1"
"4613","EGR2"
"4614","EGR3"
"4615","EGR4"
"4616","EHBP1"
"4617","EHBP1L1"
"4618","EHD1"
"4619","EHD2"
"4620","EHD3"
"4621","EHD4"
"4622","EHF"
"4623","EHHADH"
"4624","EHMT1"
"4625","EHMT2"
"4626","EI24"
"4627","EID1"
"4628","EID2"
"4629","EID2B"
"4630","EID3"
"4631","EIF1"
"4632","EIF1AD"
"4633","EIF1AX"
"4634","EIF1AY"
"4635","EIF1B"
"4636","EIF2A"
"4637","EIF2AK1"
"4638","EIF2AK2"
"4639","EIF2AK3"
"4640","EIF2AK4"
"4641","EIF2B1"
"4642","EIF2B2"
"4643","EIF2B3"
"4644","EIF2B4"
"4645","EIF2B5"
"4646","EIF2D"
"4647","EIF2S1"
"4648","EIF2S2"
"4649","EIF2S3B,EIF2S3"
"4650","EIF3A"
"4651","EIF3B"
"4652","EIF3C,EIF3CL"
"4653","EIF3D"
"4654","EIF3E"
"4655","EIF3F"
"4656","EIF3G"
"4657","EIF3H"
"4658","EIF3I"
"4659","EIF3J"
"4660","EIF3K"
"4661","EIF3L"
"4662","EIF3M"
"4663","EIF4A2"
"4664","EIF4A3"
"4665","EIF4B"
"4666","EIF4E"
"4667","EIF4E1B"
"4668","EIF4E2"
"4669","EIF4E3"
"4670","EIF4EBP1"
"4671","EIF4EBP2"
"4672","EIF4EBP3"
"4673","EIF4ENIF1"
"4674","EIF4G1"
"4675","EIF4G2"
"4676","EIF4G3"
"4677","EIF4H"
"4678","EIF5"
"4679","EIF5A"
"4680","EIF5A2"
"4681","EIF5AL1"
"4682","EIF5B"
"4683","EIF6"
"4684","EIPR1"
"4685","ELAC1"
"4686","ELAC2"
"4687","ELANE"
"4688","ELAVL1"
"4689","ELAVL2"
"4690","ELAVL3"
"4691","ELAVL4"
"4692","ELF1"
"4693","ELF2"
"4694","ELF3"
"4695","ELF4"
"4696","ELF5"
"4697","ELFN1"
"4698","ELFN2"
"4699","ELK1"
"4700","ELK3"
"4701","ELK4"
"4702","ELL"
"4703","ELL2"
"4704","ELL3,PDIA3"
"4705","ELMO1"
"4706","ELMO2"
"4707","ELMO3"
"4708","ELMOD1"
"4709","ELMOD2"
"4710","ELMOD3"
"4711","ELMSAN1"
"4712","ELN"
"4713","ELOA"
"4714","ELOA3B,ELOA3D,ELOA3C,ELOA3"
"4715","ELOA3D,ELOA2,ELOA3"
"4716","ELOB"
"4717","ELOC"
"4718","ELOF1"
"4719","ELOVL1"
"4720","ELOVL2"
"4721","ELOVL3"
"4722","ELOVL4"
"4723","ELOVL5"
"4724","ELOVL6"
"4725","ELOVL7"
"4726","ELP1"
"4727","ELP2"
"4728","ELP3"
"4729","ELP4"
"4730","ELP5"
"4731","ELP6"
"4732","ELSPBP1"
"4733","EMB"
"4734","EMC1"
"4735","EMC10"
"4736","EMC2"
"4737","EMC3"
"4738","EMC4,SLC12A6"
"4739","EMC6"
"4740","EMC7"
"4741","EMC8"
"4742","EMC9"
"4743","EMCN"
"4744","EMD"
"4745","EME1"
"4746","EME2"
"4747","EMG1"
"4748","EMID1"
"4749","EMILIN1"
"4750","EMILIN2"
"4751","EMILIN3"
"4752","EML1"
"4753","EML2"
"4754","EML3"
"4755","EML4"
"4756","EML5"
"4757","EML6"
"4758","EMP1"
"4759","EMP2"
"4760","EMP3"
"4761","EMSY"
"4762","EMX1"
"4763","EMX2"
"4764","EN1"
"4765","EN2"
"4766","ENAH"
"4767","ENAM"
"4768","ENC1"
"4769","ENDOD1"
"4770","ENDOG,SPOUT1"
"4771","ENDOU"
"4772","ENDOV"
"4773","ENG"
"4774","ENGASE"
"4775","ENHO"
"4776","ENKD1"
"4777","ENKUR"
"4778","ENO1"
"4779","ENO2"
"4780","ENO3"
"4781","ENO4"
"4782","ENOPH1"
"4783","ENOX1"
"4784","ENOX2"
"4785","ENPEP"
"4786","ENPP1"
"4787","ENPP2"
"4788","ENPP3"
"4789","ENPP4"
"4790","ENPP5"
"4791","ENPP6"
"4792","ENPP7"
"4793","ENSA"
"4794","ENTHD1"
"4795","ENTPD1"
"4796","ENTPD2"
"4797","ENTPD3"
"4798","ENTPD4"
"4799","ENTPD5"
"4800","ENTPD6"
"4801","ENTPD7"
"4802","ENTPD8"
"4803","ENTR1"
"4804","ENY2"
"4805","EOGT"
"4806","EOMES"
"4807","EP300"
"4808","EP400"
"4809","EPAS1"
"4810","EPB41"
"4811","EPB41L1"
"4812","EPB41L2"
"4813","EPB41L3"
"4814","EPB41L4A"
"4815","EPB41L4B"
"4816","EPB41L5"
"4817","EPB42"
"4818","EPC1"
"4819","EPC2"
"4820","EPCAM"
"4821","EPDR1"
"4822","EPG5"
"4823","EPGN"
"4824","EPHA1"
"4825","EPHA10"
"4826","EPHA2"
"4827","EPHA3"
"4828","EPHA4"
"4829","EPHA5"
"4830","EPHA6"
"4831","EPHA7"
"4832","EPHA8"
"4833","EPHB1"
"4834","EPHB2"
"4835","EPHB3"
"4836","EPHB4"
"4837","EPHB6"
"4838","EPHX1"
"4839","EPHX2"
"4840","EPHX3"
"4841","EPHX4"
"4842","EPM2A"
"4843","EPM2AIP1"
"4844","EPN1"
"4845","EPN2,B9D1"
"4846","EPN3"
"4847","EPO"
"4848","EPOP"
"4849","EPOR"
"4850","EPPIN"
"4851","EPPK1"
"4852","EPRS1"
"4853","EPS15"
"4854","EPS15L1"
"4855","EPS8"
"4856","EPS8L1"
"4857","EPS8L2"
"4858","EPS8L3"
"4859","EPSTI1"
"4860","EPX"
"4861","EPYC"
"4862","EQTN"
"4863","ERAL1"
"4864","ERAP1"
"4865","ERAP2"
"4866","ERAS"
"4867","ERBB2"
"4868","ERBB3"
"4869","ERBB4"
"4870","ERBIN"
"4871","ERC1"
"4872","ERC2"
"4873","ERCC1"
"4874","ERCC2"
"4875","ERCC3"
"4876","ERCC4"
"4877","ERCC5,BIVM-ERCC5"
"4878","ERCC6L"
"4879","ERCC6L2"
"4880","ERCC8"
"4881","EREG"
"4882","ERF"
"4883","ERFE"
"4884","ERG"
"4885","ERG28"
"4886","ERGIC1"
"4887","ERGIC2"
"4888","ERGIC3"
"4889","ERH"
"4890","ERI1"
"4891","ERI2"
"4892","ERI3"
"4893","ERICH1"
"4894","ERICH2"
"4895","ERICH3"
"4896","ERICH4"
"4897","ERICH5"
"4898","ERICH6"
"4899","ERICH6B"
"4900","ERLEC1"
"4901","ERLIN1"
"4902","ERLIN2"
"4903","ERMAP"
"4904","ERMARD"
"4905","ERMN"
"4906","ERMP1"
"4907","ERN1"
"4908","ERN2"
"4909","ERO1A"
"4910","ERO1B"
"4911","ERP27"
"4912","ERP29"
"4913","ERP44"
"4914","ERRFI1"
"4915","ERV3-1"
"4916","ERV3-1-ZNF117,ZNF117"
"4917","ERVFRD-1"
"4918","ERVMER34-1"
"4919","ERVV-1"
"4920","ERVV-2"
"4921","ERVW-1"
"4922","ESAM"
"4923","ESCO1"
"4924","ESCO2"
"4925","ESD"
"4926","ESF1"
"4927","ESM1"
"4928","ESPL1"
"4929","ESPN"
"4930","ESPNL"
"4931","ESR1"
"4932","ESR2"
"4933","ESRP1"
"4934","ESRP2"
"4935","ESRRA"
"4936","ESRRB"
"4937","ESRRG"
"4938","ESX1"
"4939","ESYT1"
"4940","ESYT2"
"4941","ESYT3"
"4942","ETAA1"
"4943","ETF1"
"4944","ETFA"
"4945","ETFB"
"4946","ETFBKMT"
"4947","ETFDH"
"4948","ETFRF1"
"4949","ETHE1"
"4950","ETNK1"
"4951","ETNK2"
"4952","ETNPPL"
"4953","ETS1"
"4954","ETS2"
"4955","ETV1"
"4956","ETV2"
"4957","ETV3"
"4958","ETV3L"
"4959","ETV4"
"4960","ETV5"
"4961","ETV6"
"4962","ETV7"
"4963","EVA1A"
"4964","EVA1B"
"4965","EVA1C"
"4966","EVC,CRMP1"
"4967","EVC2"
"4968","EVI2A"
"4969","EVI2B"
"4970","EVI5"
"4971","EVI5L"
"4972","EVL"
"4973","EVPL"
"4974","EVPLL"
"4975","EVX1"
"4976","EVX2"
"4977","EWSR1"
"4978","EXD1"
"4979","EXD2"
"4980","EXD3"
"4981","EXO1"
"4982","EXO5"
"4983","EXOC1"
"4984","EXOC1L"
"4985","EXOC2"
"4986","EXOC3"
"4987","EXOC3L1"
"4988","EXOC3L2"
"4989","EXOC3L4"
"4990","EXOC4"
"4991","EXOC5"
"4992","EXOC6"
"4993","EXOC6B"
"4994","EXOC7"
"4995","EXOC8"
"4996","EXOG"
"4997","EXOSC1"
"4998","EXOSC10"
"4999","EXOSC2"
"5000","EXOSC3"
"5001","EXOSC4"
"5002","EXOSC5"
"5003","EXOSC6"
"5004","EXOSC7"
"5005","EXOSC8"
"5006","EXOSC9"
"5007","EXPH5"
"5008","EXT1"
"5009","EXT2"
"5010","EXTL1"
"5011","EXTL2"
"5012","EXTL3"
"5013","EYA1"
"5014","EYA2"
"5015","EYA3"
"5016","EYA4"
"5017","EYS"
"5018","EZH1"
"5019","EZH2"
"5020","EZHIP"
"5021","EZR"
"5022","F10"
"5023","F11"
"5024","F11R"
"5025","F12"
"5026","F13A1"
"5027","F13B"
"5028","F2"
"5029","F2R"
"5030","F2RL1"
"5031","F2RL2"
"5032","F2RL3"
"5033","F3"
"5034","F5"
"5035","F7"
"5036","F8"
"5037","F8A1"
"5038","F9"
"5039","FA2H"
"5040","FAAH"
"5041","FAAH2"
"5042","FAAP100"
"5043","FAAP20"
"5044","FAAP24"
"5045","FABP1"
"5046","FABP12"
"5047","FABP2"
"5048","FABP3"
"5049","FABP4"
"5050","FABP5"
"5051","FABP6"
"5052","FABP7"
"5053","FABP9"
"5054","FADD"
"5055","FADS1"
"5056","FADS2"
"5057","FADS3"
"5058","FADS6"
"5059","FAF1"
"5060","FAF2"
"5061","FAH"
"5062","FAHD1"
"5063","FAHD2A,FAHD2B"
"5064","FAIM"
"5065","FAIM2"
"5066","FAM102A"
"5067","FAM102B"
"5068","FAM104A"
"5069","FAM104B"
"5070","FAM106A"
"5071","FAM107A"
"5072","FAM107B"
"5073","FAM110A"
"5074","FAM110B"
"5075","FAM110C"
"5076","FAM110D"
"5077","FAM111A"
"5078","FAM111B"
"5079","FAM114A1"
"5080","FAM114A2"
"5081","FAM117A"
"5082","FAM117B"
"5083","FAM118A"
"5084","FAM118B"
"5085","FAM120A"
"5086","FAM120AOS"
"5087","FAM120B"
"5088","FAM120C"
"5089","FAM122A"
"5090","FAM122B"
"5091","FAM122C"
"5092","FAM124A"
"5093","FAM124B"
"5094","FAM126A"
"5095","FAM126B"
"5096","FAM131A"
"5097","FAM131B"
"5098","FAM131C"
"5099","FAM133A"
"5100","FAM133B"
"5101","FAM135A"
"5102","FAM135B"
"5103","FAM136A"
"5104","FAM13A"
"5105","FAM13B"
"5106","FAM13C"
"5107","FAM149A"
"5108","FAM149B1"
"5109","FAM151A"
"5110","FAM151B"
"5111","FAM153B,FAM153A"
"5112","FAM155A"
"5113","FAM155B"
"5114","FAM156B,FAM156A"
"5115","FAM160A1"
"5116","FAM160A2"
"5117","FAM160B1"
"5118","FAM160B2"
"5119","FAM161A"
"5120","FAM161B"
"5121","FAM162A"
"5122","FAM162B"
"5123","FAM163A"
"5124","FAM163B"
"5125","FAM166A"
"5126","FAM166B"
"5127","FAM166C,C2orf70"
"5128","FAM167A"
"5129","FAM167B"
"5130","FAM168A"
"5131","FAM169A"
"5132","FAM169B"
"5133","FAM170A"
"5134","FAM170B"
"5135","FAM171A1"
"5136","FAM171A2"
"5137","FAM171B"
"5138","FAM172A"
"5139","FAM174A"
"5140","FAM174B"
"5141","FAM174C"
"5142","FAM177A1"
"5143","FAM177B"
"5144","FAM178B"
"5145","FAM180A"
"5146","FAM180B"
"5147","FAM181A"
"5148","FAM181B"
"5149","FAM183A"
"5150","FAM184A"
"5151","FAM184B"
"5152","FAM185A,FAM185BP"
"5153","FAM186A"
"5154","FAM186B"
"5155","FAM187B"
"5156","FAM189A1"
"5157","FAM189A2"
"5158","FAM189B"
"5159","FAM193A"
"5160","FAM193B"
"5161","FAM199X"
"5162","FAM200A"
"5163","FAM200B"
"5164","FAM204A"
"5165","FAM205A"
"5166","FAM205C"
"5167","FAM207A"
"5168","FAM209B"
"5169","FAM20A"
"5170","FAM20B"
"5171","FAM20C"
"5172","FAM210A"
"5173","FAM210B"
"5174","FAM214A"
"5175","FAM214B"
"5176","FAM216A"
"5177","FAM216B"
"5178","FAM217A"
"5179","FAM217B"
"5180","FAM219A"
"5181","FAM219B"
"5182","FAM220A"
"5183","FAM221A"
"5184","FAM221B"
"5185","FAM222A"
"5186","FAM222B"
"5187","FAM227A"
"5188","FAM227B"
"5189","FAM228A"
"5190","FAM228B"
"5191","FAM229A"
"5192","FAM229B"
"5193","FAM234A"
"5194","FAM234B"
"5195","FAM237A"
"5196","FAM240A"
"5197","FAM241A"
"5198","FAM241B"
"5199","FAM24A"
"5200","FAM24B"
