"","x"
"309","ADD3"
"310","ADGB"
"311","ADGRA1"
"312","ADGRA2"
"313","ADGRA3"
"314","ADGRB1"
"315","ADGRB2"
"316","ADGRB3"
"317","ADGRD1"
"318","ADGRD2"
"319","ADGRE1"
"320","ADGRE2,ADGRE3"
"321","ADGRE5"
"322","ADGRF1"
"323","ADGRF2"
"324","ADGRF3"
"325","ADGRF4"
"326","ADGRF5"
"327","ADGRG1"
"328","ADGRG2"
"329","ADGRG4"
"330","ADGRG5"
"331","ADGRG6"
"332","ADGRG7"
"333","ADGRL1"
"334","ADGRL2"
"335","ADGRL3"
"336","ADGRL4"
"337","ADGRV1"
"338","ADH1B,ADH1C,ADH1A"
"339","ADH4"
"340","ADH5"
"341","ADH6"
"342","ADH7"
"343","ADHFE1"
"344","ADI1"
"345","ADIG"
"346","ADIPOQ-AS1,ADIPOQ"
"347","ADIPOR1"
"348","ADIPOR2"
"349","ADIRF"
"350","ADK"
"351","ADM"
"352","ADM2"
"353","ADM5"
"354","ADNP"
"355","ADNP2"
"356","ADO"
"357","ADORA1"
"358","ADORA2B"
"359","ADORA3"
"360","ADPGK"
"361","ADPRH"
"362","ADPRHL1"
"363","ADPRHL2"
"364","ADPRM"
"365","ADRA1A"
"366","ADRA1B"
"367","ADRA1D"
"368","ADRA2A"
"369","ADRA2B"
"370","ADRA2C"
"371","ADRB1"
"372","ADRB2"
"373","ADRB3"
"374","ADRM1"
"375","ADSL"
"376","ADSS2,ADSS"
"377","ADSSL1,ADSS1"
"378","ADTRP"
"379","AEBP1"
"380","AEBP2"
"381","AEN"
"382","AFAP1"
"383","AFAP1L1"
"384","AFAP1L2"
"385","AFDN"
"386","AFF1"
"387","AFF2"
"388","AFF3"
"389","AFF4"
"390","AFG1L"
"391","AFG3L2"
"392","AFM"
"393","AFMID"
"394","AFP"
"395","AFTPH"
"396","AGA"
"397","AGAP1"
"398","AGAP2"
"399","AGAP3"
"400","AGAP7P,AGAP10P,TIMM23B-AGAP6,AGAP5,BMS1P2-AGAP9,AGAP6,BMS1P4-AGAP5,AGAP4,AGAP12P,LOC107984026,PARGP1-AGAP4,AGAP9"
"401","AGBL1"
"402","AGBL2"
"403","AGBL3"
"404","AGBL4"
"405","AGBL5"
"406","AGER"
"407","AGFG1"
"408","AGFG2"
"409","AGGF1"
"410","AGK,DENND11,KIAA1147"
"411","AGL"
"412","AGMAT"
"413","AGMO"
"414","AGO1"
"415","AGO2"
"416","AGO3"
"417","AGO4"
"418","AGPAT1"
"419","AGPAT2"
"420","AGPAT3"
"421","AGPAT4"
"422","AGPAT5"
"423","AGPS"
"424","AGR2"
"425","AGR3"
"426","AGRN"
"427","AGRP"
"428","AGT"
"429","AGTPBP1"
"430","AGTR1"
"431","AGTR2"
"432","AGTRAP"
"433","AGXT"
"434","AGXT2"
"435","AHCTF1,AHCTF1P1"
"436","AHCY"
"437","AHCYL1"
"438","AHCYL2"
"439","AHDC1"
"440","AHI1"
"441","AHNAK"
"442","AHNAK2"
"443","AHR"
"444","AHRR"
"445","AHSA1"
"446","AHSG"
"447","AHSP"
"448","AICDA"
"449","AIDA"
"450","AIF1"
"451","AIF1L"
"452","AIFM1"
"453","AIFM2"
"454","AIFM3"
"455","AIG1"
"456","AIM2"
"457","AIMP1"
"458","AIMP2"
"459","AIP"
"460","AIPL1"
"461","AIRE"
"462","AJAP1"
"463","AJM1"
"464","AJUBA"
"465","AK1"
"466","AK2"
"467","AK3"
"468","AK4"
"469","AK5"
"470","AK6"
"471","AK7"
"472","AK8"
"473","AK9"
"474","AKAIN1"
"475","AKAP1"
"476","AKAP10"
"477","AKAP11"
"478","AKAP12"
"479","AKAP13"
"480","AKAP14"
"481","AKAP17A"
"482","AKAP3"
"483","AKAP4"
"484","AKAP5"
"485","AKAP6"
"486","AKAP7"
"487","AKAP8"
"488","AKAP8L"
"489","AKAP9"
"490","AKIP1"
"491","AKIRIN1"
"492","AKIRIN2"
"493","AKNA"
"494","AKNAD1"
"495","AKR1A1"
"496","AKR1B1"
"497","AKR1B10,AKR1B15"
"498","AKR1C1,AKR1C2"
"499","AKR1C3"
"500","AKR1C4"
"501","AKR1D1"
"502","AKR1E2"
"503","AKR7A2"
"504","AKR7A3"
"505","AKR7L"
"506","AKT1"
"507","AKT1S1"
"508","AKT2"
"509","AKT3"
"510","AKTIP"
"511","ALAD"
"512","ALAS1"
"513","ALAS2"
"514","ALB"
"515","ALCAM"
"516","ALDH16A1"
"517","ALDH18A1"
"518","ALDH1A1"
"519","ALDH1A2"
"520","ALDH1B1"
"521","ALDH1L1"
"522","ALDH1L2"
"523","ALDH2"
"524","ALDH3A1"
"525","ALDH3A2"
"526","ALDH3B1"
"527","ALDH3B2"
"528","ALDH4A1"
"529","ALDH5A1"
"530","ALDH6A1"
"531","ALDH7A1"
"532","ALDH8A1"
"533","ALDH9A1"
"534","ALDOB"
"535","ALDOC"
"536","ALG10"
"537","ALG10B"
"538","ALG11,UTP14A,UTP14C"
"539","ALG12"
"540","ALG13"
"541","ALG14"
"542","ALG1L"
"543","ALG1L2"
"544","ALG2"
"545","ALG3"
"546","ALG5"
"547","ALG6"
"548","ALG8"
"549","ALG9"
"550","ALK"
"551","ALKAL1"
"552","ALKAL2"
"553","ALKBH1"
"554","ALKBH2"
"555","ALKBH3"
"556","ALKBH4"
"557","ALKBH5"
"558","ALKBH6"
"559","ALKBH7"
"560","ALKBH8"
"561","ALLC"
"562","ALMS1"
"563","ALOX12"
"564","ALOX15"
"565","ALOX15B"
"566","ALOX5"
"567","ALOX5AP"
"568","ALOXE3"
"569","ALPG"
"570","ALPI"
"571","ALPK1"
"572","ALPK2"
"573","ALPK3"
"574","ALPL"
"575","ALPP"
"576","ALS2"
"577","ALS2CL"
"578","ALX1"
"579","ALX3"
"580","ALX4"
"581","ALYREF"
"582","AMBN"
"583","AMBP"
"584","AMBRA1"
"585","AMD1"
"586","AMDHD1"
"587","AMELX"
"588","AMELY"
"589","AMER1"
"590","AMER2"
"591","AMER3"
"592","AMFR"
"593","AMH"
"594","AMHR2"
"595","AMIGO1"
"596","AMIGO2"
"597","AMIGO3"
"598","AMMECR1"
"599","AMMECR1L"
"600","AMN"
"601","AMN1"
"602","AMOT"
"603","AMOTL1"
"604","AMOTL2"
"605","AMPD1"
"606","AMPD2"
"607","AMPD3"
"608","AMPH"
"609","AMT"
"610","AMTN"
"611","AMY1C,AMY1A,AMY2A,AMY1B"
"612","AMY2B"
"613","AMZ1"
